PROCESSDATA	2#CDU.7040-312_LIC63001 Data	yyyy-MM-dd HH:mm:ss
8	60	2024-06-28 14:35:00	126
tagname	LYCDU.CDU.7040-312_LIC63001.MV	LYCDU.CDU.7040-312_LIC63001.PV	LYCDU.CDU.7040-312_LIC63001.SV	LYCDU.CDU.7040-312_LIC63001.MODE	bOpOFL	bPvOFL	bSpOFL	bAutOFL
desc	C_630塔底_OP	C_630塔底_PV	C_630塔底_SP	Aut	bOpOFL	bPvOFL	bSpOFL	bAutOFL
fsMax=3.0913649999999997	fsMin=0	fsGridNum=10	fdMax=3.0913649999999997tfdMin=0	fdGridNum=10	v0GridNum=10	L=24
2024-06-28 15:21:00	56.3859	59.74357	60.04307	1	0	0	0	0
2024-06-28 15:22:00	57.16082	59.85963	60.04307	1	0	0	0	0
2024-06-28 15:23:00	55.74071	59.66042	60.04307	1	0	0	0	0
2024-06-28 15:24:00	56.05617	59.68583	60.04307	1	0	0	0	0
2024-06-28 15:25:00	55.9561	59.71607	60.04307	1	0	0	0	0
2024-06-28 15:26:00	57.25449	59.95239	60.04307	1	0	0	0	0
2024-06-28 15:27:00	57.65834	59.84759	60.04307	1	0	0	0	0
2024-06-28 15:28:00	57.27835	59.92376	60.04307	1	0	0	0	0
2024-06-28 15:29:00	56.68717	59.80434	60.04307	1	0	0	0	0
2024-06-28 15:30:00	56.33369	59.79062	60.04307	1	0	0	0	0
2024-06-28 15:31:00	57.02195	59.76868	60.04307	1	0	0	0	0
2024-06-28 15:32:00	57.06587	59.93476	60.04307	1	0	0	0	0
2024-06-28 15:33:00	57.96841	59.98222	60.04307	1	0	0	0	0
2024-06-28 15:34:00	58.2156	60.16714	60.04307	1	0	0	0	0
2024-06-28 15:35:00	58.35065	60.14557	60.04307	1	0	0	0	0
2024-06-28 15:36:00	57.03704	59.92351	60.04307	1	0	0	0	0
2024-06-28 15:37:00	56.04741	59.86799	60.04307	1	0	0	0	0
2024-06-28 15:38:00	56.27834	59.8692	60.04307	1	0	0	0	0
2024-06-28 15:39:00	57.42952	59.92679	60.04307	1	0	0	0	0
2024-06-28 15:40:00	58.18536	60.1418	60.04307	1	0	0	0	0
2024-06-28 15:41:00	59.52644	60.3228	60.04307	1	0	0	0	0
2024-06-28 15:42:00	59.78276	60.4075	60.04307	1	0	0	0	0
2024-06-28 15:43:00	59.35701	60.3357	60.04307	1	0	0	0	0
2024-06-28 15:44:00	58.88727	60.20034	60.04307	1	0	0	0	0
2024-06-28 15:45:00	58.03659	60.16679	60.04307	1	0	0	0	0
2024-06-28 15:46:00	57.79789	60.08037	60.04307	1	0	0	0	0
2024-06-28 15:47:00	56.90589	59.91177	60.04307	1	0	0	0	0
2024-06-28 15:48:00	57.62473	60.00098	60.04307	1	0	0	0	0
2024-06-28 15:49:00	58.13933	60.27924	60.04307	1	0	0	0	0
2024-06-28 15:50:00	58.48288	60.15348	60.04307	1	0	0	0	0
2024-06-28 15:51:00	58.66701	60.16933	60.04307	1	0	0	0	0
2024-06-28 15:52:00	57.79032	60.0183	60.04307	1	0	0	0	0
2024-06-28 15:53:00	56.87438	59.99026	60.04307	1	0	0	0	0
2024-06-28 15:54:00	57.51599	59.99987	60.04307	1	0	0	0	0
2024-06-28 15:55:00	58.49337	60.08945	60.04307	1	0	0	0	0
2024-06-28 15:56:00	59.45561	60.29047	60.04307	1	0	0	0	0
2024-06-28 15:57:00	59.71174	60.38743	60.04307	1	0	0	0	0
2024-06-28 15:58:00	58.90049	60.13744	60.04307	1	0	0	0	0
2024-06-28 15:59:00	56.00098	59.82433	60.04307	1	0	0	0	0
2024-06-28 16:00:00	56.5668	59.81242	60.04307	1	0	0	0	0
2024-06-28 16:01:00	56.7043	59.78688	60.04307	1	0	0	0	0
2024-06-28 16:02:00	58.0986	60.06064	60.04307	1	0	0	0	0
2024-06-28 16:03:00	58.49781	60.12213	60.04307	1	0	0	0	0
2024-06-28 16:04:00	58.93478	60.19635	60.04307	1	0	0	0	0
2024-06-28 16:05:00	58.72595	60.21256	60.04307	1	0	0	0	0
2024-06-28 16:06:00	58.71834	60.14527	60.04307	1	0	0	0	0
2024-06-28 16:07:00	58.18921	60.06935	60.04307	1	0	0	0	0
2024-06-28 16:08:00	57.87891	60.02269	60.04307	1	0	0	0	0
2024-06-28 16:09:00	58.82213	60.21159	60.04307	1	0	0	0	0
2024-06-28 16:10:00	58.25336	60.08052	60.04307	1	0	0	0	0
2024-06-28 16:11:00	58.18477	60.05806	60.04307	1	0	0	0	0
2024-06-28 16:12:00	57.7134	60.00816	60.04307	1	0	0	0	0
2024-06-28 16:13:00	58.78689	60.14091	60.04307	1	0	0	0	0
2024-06-28 16:14:00	59.09261	60.20657	60.04307	1	0	0	0	0
2024-06-28 16:15:00	58.7333	60.14466	60.04307	1	0	0	0	0
2024-06-28 16:16:00	58.14008	60.07811	60.04307	1	0	0	0	0
2024-06-28 16:17:00	57.41916	59.93172	60.04307	1	0	0	0	0
2024-06-28 16:18:00	57.90667	60.00719	60.04307	1	0	0	0	0
2024-06-28 16:19:00	57.17392	59.88387	60.04307	1	0	0	0	0
2024-06-28 16:20:00	57.62068	59.9967	60.04307	1	0	0	0	0
2024-06-28 16:21:00	57.43362	59.9561	60.04307	1	0	0	0	0
2024-06-28 16:22:00	55.91126	59.69608	60.04307	1	0	0	0	0
2024-06-28 16:23:00	56.76145	59.83247	60.04307	1	0	0	0	0
2024-06-28 16:24:00	57.88585	60.07501	60.04307	1	0	0	0	0
2024-06-28 16:25:00	57.50378	59.96671	60.04307	1	0	0	0	0
2024-06-28 16:26:00	57.55102	59.98375	60.04307	1	0	0	0	0
2024-06-28 16:27:00	55.92924	59.76595	60.04307	1	0	0	0	0
2024-06-28 16:28:00	54.28153	59.45405	60.04307	1	0	0	0	0
2024-06-28 16:29:00	50.12144	58.78963	60.04307	1	0	0	0	0
2024-06-28 16:30:00	51.68381	59.12944	60.04307	1	0	0	0	0
2024-06-28 16:31:00	56.98832	60.02728	60.04307	1	0	0	0	0
2024-06-28 16:32:00	61.63755	60.75717	60.04307	1	0	0	0	0
2024-06-28 16:33:00	63.3995	61.06314	60.04307	1	0	0	0	0
2024-06-28 16:34:00	61.40384	60.66162	60.04307	1	0	0	0	0
2024-06-28 16:35:00	57.96504	60.04156	60.04307	1	0	0	0	0
2024-06-28 16:36:00	54.80221	59.569	60.04307	1	0	0	0	0
2024-06-28 16:37:00	55.47788	59.72833	60.04307	1	0	0	0	0
2024-06-28 16:38:00	56.27771	59.89128	60.04307	1	0	0	0	0
2024-06-28 16:39:00	57.71164	60.10172	60.04307	1	0	0	0	0
2024-06-28 16:40:00	59.57306	60.35733	60.04307	1	0	0	0	0
