PROCESSDATA	RHT.7050-342_FIC60101 Data	yyyy-MM-dd HH:mm:ss
8	10	2024-07-01 21:55:00	751
tagname	LYCDU.RHT.7050-342_FIC60101.MV	LYCDU.RHT.7050-342_FIC60101.PV	LYCDU.RHT.7050-342_FIC60101.SV	LYCDU.RHT.7050-342_FIC60101.MODE	bOpOFL	bPvOFL	bSpOFL	bAutOFL
desc	D-601汽包给水流量控制_OP	D-601汽包给水流量控制_PV	D-601汽包给水流量控制_SP	Aut	bOpOFL	bPvOFL	bSpOFL	bAutOFL
fsMax=10.356255	fsMin=0	fsGridNum=10	fdMax=10.356255tfdMin=0	fdGridNum=10	v0GridNum=10	L=24
2024-07-01 22:17:40	15.30487	2.408142	2.402748	1	0	0	0	0
2024-07-01 22:17:50	15.39024	2.406785	2.464129	1	0	0	0	0
2024-07-01 22:18:00	15.47257	2.41017	2.500426	1	0	0	0	0
2024-07-01 22:18:10	15.55186	2.418295	2.511641	1	0	0	0	0
2024-07-01 22:18:20	15.63042	2.422342	2.47807	1	0	0	0	0
2024-07-01 22:18:30	15.68695	2.422342	2.470111	1	0	0	0	0
2024-07-01 22:18:40	15.72143	2.418295	2.487763	1	0	0	0	0
2024-07-01 22:18:50	15.72143	2.418295	2.487763	1	0	0	0	0
2024-07-01 22:19:00	15.72143	2.423352	2.448528	1	0	0	0	0
2024-07-01 22:19:10	15.78683	2.436463	2.468792	1	0	0	0	0
2024-07-01 22:19:20	15.78683	2.434114	2.454518	1	0	0	0	0
2024-07-01 22:19:30	15.84227	2.43294	2.472328	1	0	0	0	0
2024-07-01 22:19:40	15.95314	2.43294	2.522223	1	0	0	0	0
2024-07-01 22:19:50	16.0103	2.440643	2.511034	1	0	0	0	0
2024-07-01 22:20:00	16.0103	2.440643	2.511034	1	0	0	0	0
2024-07-01 22:20:10	16.12348	2.446829	2.500746	1	0	0	0	0
2024-07-01 22:20:20	16.2927	2.456157	2.447021	1	0	0	0	0
2024-07-01 22:20:30	16.2927	2.461138	2.446031	1	0	0	0	0
2024-07-01 22:20:40	16.2927	2.466445	2.488389	1	0	0	0	0
2024-07-01 22:20:50	16.2927	2.469091	2.473017	1	0	0	0	0
2024-07-01 22:21:00	16.2927	2.468926	2.480019	1	0	0	0	0
2024-07-01 22:21:10	16.2927	2.468926	2.480019	1	0	0	0	0
2024-07-01 22:21:20	16.2927	2.465948	2.509392	1	0	0	0	0
2024-07-01 22:21:30	16.53535	2.463462	2.522906	1	0	0	0	0
2024-07-01 22:21:40	16.70772	2.460478	2.493037	1	0	0	0	0
2024-07-01 22:21:50	16.70772	2.478304	2.498189	1	0	0	0	0
2024-07-01 22:22:00	16.70772	2.484751	2.486132	1	0	0	0	0
2024-07-01 22:22:10	16.70772	2.479819	2.456866	1	0	0	0	0
2024-07-01 22:22:20	16.70772	2.482122	2.47664	1	0	0	0	0
2024-07-01 22:22:30	16.70772	2.482945	2.487148	1	0	0	0	0
2024-07-01 22:22:40	16.70772	2.482945	2.487148	1	0	0	0	0
2024-07-01 22:22:50	16.70772	2.482287	2.488389	1	0	0	0	0
2024-07-01 22:23:00	16.70772	2.480636	2.516177	1	0	0	0	0
2024-07-01 22:23:10	16.70772	2.473388	2.558745	1	0	0	0	0
2024-07-01 22:23:20	16.75145	2.483592	2.506001	1	0	0	0	0
2024-07-01 22:23:30	16.77332	2.488694	2.479214	1	0	0	0	0
2024-07-01 22:23:40	16.77332	2.488694	2.479214	1	0	0	0	0
2024-07-01 22:23:50	16.77332	2.488694	2.478386	1	0	0	0	0
2024-07-01 22:24:00	16.709	2.482123	2.452312	1	0	0	0	0
2024-07-01 22:24:10	16.709	2.482781	2.455864	1	0	0	0	0
2024-07-01 22:24:20	16.709	2.480477	2.451476	1	0	0	0	0
2024-07-01 22:24:30	16.709	2.479983	2.449595	1	0	0	0	0
2024-07-01 22:24:40	16.709	2.4813	2.450223	1	0	0	0	0
2024-07-01 22:24:50	16.709	2.482287	2.465628	1	0	0	0	0
2024-07-01 22:25:00	16.66248	2.482616	2.48045	1	0	0	0	0
2024-07-01 22:25:10	16.66248	2.482616	2.48045	1	0	0	0	0
2024-07-01 22:25:20	16.56944	2.482287	2.494689	1	0	0	0	0
2024-07-01 22:25:30	16.27258	2.47008	2.479795	1	0	0	0	0
2024-07-01 22:25:40	16.33016	2.463463	2.456177	1	0	0	0	0
2024-07-01 22:25:50	16.40338	2.463131	2.454715	1	0	0	0	0
2024-07-01 22:26:00	16.43999	2.463629	2.459915	1	0	0	0	0
2024-07-01 22:26:10	16.43999	2.464954	2.471776	1	0	0	0	0
2024-07-01 22:26:20	16.43999	2.464954	2.471776	1	0	0	0	0
2024-07-01 22:26:30	16.43999	2.46396	2.442914	1	0	0	0	0
2024-07-01 22:26:40	16.43999	2.466941	2.492222	1	0	0	0	0
2024-07-01 22:26:50	16.43999	2.468265	2.491399	1	0	0	0	0
2024-07-01 22:27:00	16.43999	2.467603	2.480635	1	0	0	0	0
2024-07-01 22:27:10	16.43999	2.464954	2.459929	1	0	0	0	0
2024-07-01 22:27:20	16.43999	2.462302	2.451366	1	0	0	0	0
2024-07-01 22:27:30	16.43999	2.462302	2.451366	1	0	0	0	0
2024-07-01 22:27:40	16.43999	2.461141	2.438242	1	0	0	0	0
2024-07-01 22:27:50	16.49527	2.465781	2.446732	1	0	0	0	0
2024-07-01 22:28:00	16.54285	2.468761	2.462879	1	0	0	0	0
2024-07-01 22:28:10	16.58275	2.470415	2.468997	1	0	0	0	0
2024-07-01 22:28:20	16.58275	2.473717	2.471874	1	0	0	0	0
2024-07-01 22:28:30	16.58275	2.47751	2.46279	1	0	0	0	0
2024-07-01 22:28:40	16.58275	2.481794	2.441742	1	0	0	0	0
2024-07-01 22:28:50	16.58275	2.480477	2.494119	1	0	0	0	0
2024-07-01 22:29:00	16.58275	2.480477	2.494119	1	0	0	0	0
2024-07-01 22:29:10	16.54569	2.479819	2.495823	1	0	0	0	0
2024-07-01 22:29:20	16.47157	2.473219	2.456397	1	0	0	0	0
2024-07-01 22:29:30	16.47157	2.468595	2.467252	1	0	0	0	0
2024-07-01 22:29:40	16.47157	2.465948	2.479417	1	0	0	0	0
2024-07-01 22:29:50	16.47157	2.468595	2.515197	1	0	0	0	0
2024-07-01 22:30:00	16.47157	2.470745	2.497721	1	0	0	0	0
2024-07-01 22:30:10	16.47157	2.470745	2.497721	1	0	0	0	0
2024-07-01 22:30:20	16.47157	2.472398	2.426992	1	0	0	0	0
2024-07-01 22:30:30	16.42148	2.467768	2.492665	1	0	0	0	0
2024-07-01 22:30:40	16.52941	2.464457	2.446101	1	0	0	0	0
2024-07-01 22:30:50	16.46659	2.474369	2.460388	1	0	0	0	0
2024-07-01 22:31:00	16.38147	2.474203	2.462802	1	0	0	0	0
2024-07-01 22:31:10	16.27406	2.46396	2.453342	1	0	0	0	0
2024-07-01 22:31:20	16.27406	2.465948	2.472983	1	0	0	0	0
2024-07-01 22:31:30	16.27406	2.466113	2.465379	1	0	0	0	0
2024-07-01 22:31:40	16.27406	2.466113	2.465379	1	0	0	0	0
