PROCESSDATA	2111FIC40102E Data	yyyy-MM-dd HH:mm:ss
8	10	2024-08-23 21:55:00	751
tagname	2111FIC40102E.MV	2111FIC40102E.PV	2111FIC40102E.SV	2111FIC40102E.MODE	bOpOFL	bPvOFL	bSpOFL	bAutOFL
desc	常底油进F401五路支管_OP	常底油进F401五路支管_PV	常底油进F401五路支管_SP	Aut	bOpOFL	bPvOFL	bSpOFL	bAutOFL
fsMax=1.905420290383951	fsMin=0	fsGridNum=10	fdMax=1.905420290383951tfdMin=0	fdGridNum=10	v0GridNum=10	L=24
2024-08-23 21:59:20	40.95411595352113	98.2957043169014	98.22140297183098	1	0	0	0	0
2024-08-23 21:59:30	41.000151826582275	98.08052455822785	98.14249618987343	1	0	0	0	0
2024-08-23 21:59:40	40.913418914285714	98.06739027857144	97.76403071428571	1	0	0	0	0
2024-08-23 21:59:50	41.05987566885246	97.82213032786885	98.11980967213115	1	0	0	0	0
2024-08-23 22:00:00	41.022511639344266	98.16536672131147	98.18698196721311	1	0	0	0	0
2024-08-23 22:00:10	40.98897436	98.80966846	98.513874	1	0	0	0	0
2024-08-23 22:00:20	41.2498967875	98.04462765	98.601803125	1	0	0	0	0
2024-08-23 22:00:30	41.22449704788732	98.20115084507043	98.48944	1	0	0	0	0
2024-08-23 22:00:40	41.09593551111111	98.09093029012345	97.80559493209877	1	0	0	0	0
2024-08-23 22:00:50	40.93673151470588	98.28973478235294	97.63896719411765	1	0	0	0	0
2024-08-23 22:01:00	40.995430750000004	97.80695197	97.63580475750001	1	0	0	0	0
2024-08-23 22:01:10	40.940643676470586	98.05251647058823	97.75799815294117	1	0	0	0	0
2024-08-23 22:01:20	40.868156101694915	97.95870694915254	97.5154343	1	0	0	0	0
2024-08-23 22:01:30	40.756629925714286	97.72611285714285	97.20006342857143	1	0	0	0	0
2024-08-23 22:01:40	40.85330395616438	97.43960726027397	97.42468225753426	1	0	0	0	0
2024-08-23 22:01:50	40.89087816666667	97.6312174710145	97.82703	1	0	0	0	0
2024-08-23 22:02:00	41.13916015625	96.79080088125	97.88501900624999	1	0	0	0	0
2024-08-23 22:02:10	40.90636146078431	97.39346676862745	97.58063925490195	1	0	0	0	0
2024-08-23 22:02:20	40.77906527887324	98.1085123943662	97.77532268591548	1	0	0	0	0
2024-08-23 22:02:30	40.78833343050847	98.15227118644067	97.88852499661017	1	0	0	0	0
2024-08-23 22:02:40	40.90667371910112	97.64403285393259	97.82758539325842	1	0	0	0	0
2024-08-23 22:02:50	40.9280819025641	98.0176576923077	98.18025923076922	1	0	0	0	0
2024-08-23 22:03:00	40.79709537	97.94550100000001	97.6517357325	1	0	0	0	0
2024-08-23 22:03:10	40.9518485117647	97.84753078431373	98.18695942156863	1	0	0	0	0
2024-08-23 22:03:20	41.02993366857143	97.50316011999999	97.88837746285715	1	0	0	0	0
2024-08-23 22:03:30	40.88746782857143	98.16760193571429	97.97971071428572	1	0	0	0	0
2024-08-23 22:03:40	41.206464	97.53730214285714	98.42957928571428	1	0	0	0	0
2024-08-23 22:03:50	41.03340967391304	98.41062289855073	98.36624822463769	1	0	0	0	0
2024-08-23 22:04:00	41.142436706557376	98.49265756065573	98.7538147	1	0	0	0	0
2024-08-23 22:04:10	41.212959754901966	98.23616	98.67468509803922	1	0	0	0	0
2024-08-23 22:04:20	41.264011669565214	98.29871213913043	98.77640873043478	1	0	0	0	0
2024-08-23 22:04:30	41.19453987843137	98.1284274509804	98.18880921568628	1	0	0	0	0
2024-08-23 22:04:40	41.14098925454545	98.47473454545455	98.36992636363637	1	0	0	0	0
2024-08-23 22:04:50	41.04785699166666	98.4797375	98.026435	1	0	0	0	0
2024-08-23 22:05:00	40.949942880597014	98.37095561791045	97.77466	1	0	0	0	0
2024-08-23 22:05:10	40.936863841509435	98.09032441320755	97.69770698113207	1	0	0	0	0
2024-08-23 22:05:20	40.9134693	97.87054764999999	97.5686607	1	0	0	0	0
