PROCESSDATA	2111FIC40102B Data	yyyy-MM-dd HH:mm:ss
8	10	2024-08-24 21:55:00	751
tagname	2111FIC40102B.MV	2111FIC40102B.PV	2111FIC40102B.SV	2111FIC40102B.MODE	bOpOFL	bPvOFL	bSpOFL	bAutOFL
desc	常底油进F401二路支管_OP	常底油进F401二路支管_PV	常底油进F401二路支管_SP	Aut	bOpOFL	bPvOFL	bSpOFL	bAutOFL
fsMax=1.921874734183671	fsMin=0	fsGridNum=10	fdMax=1.921874734183671tfdMin=0	fdGridNum=10	v0GridNum=10	L=24
2024-08-24 22:36:50	41.535719379999996	100.50638328571429	100.15913322857143	1	0	0	0	0
2024-08-24 22:37:00	41.35651	100.617744	99.80583	1	0	0	0	0
2024-08-24 22:37:10	41.42343987833333	100.30622651666667	99.96209933333333	1	0	0	0	0
2024-08-24 22:37:20	41.2780075	100.568207	99.82874	1	0	0	0	0
2024-08-24 22:37:30	41.45062752808989	100.37589830337079	100.64320937078652	1	0	0	0	0
2024-08-24 22:37:40	41.66817	100.204964	101.060005	1	0	0	0	0
2024-08-24 22:37:50	41.62508182222222	100.96783777777777	101.20522322222222	1	0	0	0	0
2024-08-24 22:38:00	41.44635901666667	100.40176666666667	100.208951	1	0	0	0	0
2024-08-24 22:38:10	41.576157898305084	99.84982898305086	100.090111	1	0	0	0	0
2024-08-24 22:38:20	41.39440213333334	100.498431	100.074227	1	0	0	0	0
2024-08-24 22:38:30	41.546853399999996	100.13256233333333	100.48411033333333	1	0	0	0	0
2024-08-24 22:38:40	41.35535	100.275322	99.8675156	1	0	0	0	0
2024-08-24 22:38:50	41.37289961111111	100.69004766666667	100.47994055555556	1	0	0	0	0
2024-08-24 22:39:00	41.34477	100.487854	100.23082	1	0	0	0	0
2024-08-24 22:39:10	41.33331197213115	100.23427227868852	100.05488549180328	1	0	0	0	0
2024-08-24 22:39:20	41.37994517142857	100.1825275510204	100.18428816326531	1	0	0	0	0
2024-08-24 22:39:30	41.27489466375	100.3437517375	99.96697138374999	1	0	0	0	0
2024-08-24 22:39:40	41.258100301639345	100.1732651147541	99.85312886885245	1	0	0	0	0
2024-08-24 22:39:50	41.10483846666666	99.79390000000001	99.10490555555556	1	0	0	0	0
2024-08-24 22:40:00	41.18428726	99.199434	99.10965	1	0	0	0	0
2024-08-24 22:40:10	41.27827285714286	99.36836824285714	99.59334448571428	1	0	0	0	0
2024-08-24 22:40:20	41.243365803278685	99.78557386721312	99.7486038	1	0	0	0	0
2024-08-24 22:40:30	41.152626698360656	100.80191	100.12013855737706	1	0	0	0	0
2024-08-24 22:40:40	41.559650350847456	99.33690128813559	100.317154	1	0	0	0	0
2024-08-24 22:40:50	41.75438031971831	99.26282947887324	100.40888253521126	1	0	0	0	0
2024-08-24 22:41:00	41.37794298985507	101.57226782608696	101.04005882608696	1	0	0	0	0
2024-08-24 22:41:10	41.606689516	100.7792262	101.2817574	1	0	0	0	0
2024-08-24 22:41:20	41.4776077	100.877235	100.634323	1	0	0	0	0
2024-08-24 22:41:30	41.60931507462687	100.82448232835821	100.94724191044776	1	0	0	0	0
2024-08-24 22:41:40	41.45710049180328	100.78650209836066	100.147084	1	0	0	0	0
2024-08-24 22:41:50	41.51486	99.93491	99.82327	1	0	0	0	0
2024-08-24 22:42:00	41.206454171428575	100.54764	99.56981	1	0	0	0	0
2024-08-24 22:42:10	41.53702019871795	99.58965882948718	100.01710230769231	1	0	0	0	0
2024-08-24 22:42:20	41.386503714	100.502643442	100.08241586	1	0	0	0	0
2024-08-24 22:42:30	41.448368782608696	100.36892855072465	100.40729055072464	1	0	0	0	0
2024-08-24 22:42:40	41.42775664516129	100.32234838709677	100.02440941935484	1	0	0	0	0
2024-08-24 22:42:50	41.42873512195122	100.02400418292683	99.85871663414635	1	0	0	0	0
2024-08-24 22:43:00	41.49941633333333	100.43878983333333	100.72952366666667	1	0	0	0	0
2024-08-24 22:43:10	41.66600052631579	100.53033378947369	101.277725	1	0	0	0	0
2024-08-24 22:43:20	41.581400321951214	100.56204317073171	100.669441	1	0	0	0	0
2024-08-24 22:43:30	41.47636106417911	101.03859649253732	100.7848397761194	1	0	0	0	0
2024-08-24 22:43:40	41.4060478	100.86615	100.513115	1	0	0	0	0
2024-08-24 22:43:50	41.601678888888884	100.451378	100.73750066666668	1	0	0	0	0
2024-08-24 22:44:00	41.75047050847458	99.76053240677966	100.48945247457627	1	0	0	0	0
