PROCESSDATA	2111FIC40102C Data	yyyy-MM-dd HH:mm:ss
8	10	2024-11-09 21:55:00	751
tagname	2111FIC40102C.MV	2111FIC40102C.PV	2111FIC40102C.SV	2111FIC40102C.MODE	bOpOFL	bPvOFL	bSpOFL	bAutOFL
desc	常底油进F401三路支管_OP	常底油进F401三路支管_PV	常底油进F401三路支管_SP	Aut	bOpOFL	bPvOFL	bSpOFL	bAutOFL
fsMax=1.0849690222334019	fsMin=0	fsGridNum=10	fdMax=1.0849690222334019tfdMin=0	fdGridNum=10	v0GridNum=10	L=24
2024-11-09 22:02:20	42.51826135849057	101.30792683018868	100.75133996226415	1	0	0	0	0
2024-11-09 22:02:30	42.429768885507244	101.42582989855073	100.88874871014494	1	0	0	0	0
2024-11-09 22:02:40	42.50990185185185	101.10920392592593	100.99896172839506	1	0	0	0	0
2024-11-09 22:02:50	42.610882357142856	101.20684800000001	101.36265714285715	1	0	0	0	0
2024-11-09 22:03:00	42.668999152542376	101.15997255932203	101.47608477966101	1	0	0	0	0
2024-11-09 22:03:10	42.92674408	101.08732332	102.08741	1	0	0	0	0
2024-11-09 22:03:20	43.07067664615384	101.30752630769231	102.23131923076923	1	0	0	0	0
2024-11-09 22:03:30	42.77791874754099	102.64863286885246	102.20154557377049	1	0	0	0	0
2024-11-09 22:03:40	42.75907444772727	102.34964456818182	101.95166801136364	1	0	0	0	0
2024-11-09 22:03:50	42.83783133780488	101.6735269390244	101.75454070731706	1	0	0	0	0
2024-11-09 22:04:00	42.674664723404256	101.53088114893616	101.15330210638298	1	0	0	0	0
2024-11-09 22:04:10	42.554795057142854	101.56111019047619	100.88381080952382	1	0	0	0	0
2024-11-09 22:04:20	42.65678516229508	101.16661754098361	101.08906978688525	1	0	0	0	0
2024-11-09 22:04:30	42.632326038461535	101.22389196153846	101.11323057692309	1	0	0	0	0
2024-11-09 22:04:40	42.769499833333334	101.01703487301587	101.3478	1	0	0	0	0
2024-11-09 22:04:50	42.845163897058825	100.84692397058824	101.3395294117647	1	0	0	0	0
2024-11-09 22:05:00	42.89168685393258	100.81640089887641	101.25508764044945	1	0	0	0	0
2024-11-09 22:05:10	42.8291198	101.2942841372549	101.27536611764705	1	0	0	0	0
2024-11-09 22:05:20	42.57861727377049	101.97355967213115	101.22966327868852	1	0	0	0	0
2024-11-09 22:05:30	42.614671068	101.34178551999999	101.1843037	1	0	0	0	0
