PROCESSDATA	2411PDIC10321 Data	yyyy-MM-dd HH:mm:ss
8	10	2024-10-15 21:55:00	751
tagname	2411PDIC10321.MV	2411PDIC10321.PV	2411PDIC10321.SV	2411PDIC10321.MODE	bOpOFL	bPvOFL	bSpOFL	bAutOFL
desc	再生器再生滑阀差压_OP	再生器再生滑阀差压_PV	再生器再生滑阀差压_SP	Aut	bOpOFL	bPvOFL	bSpOFL	bAutOFL
fsMax=3.6755869240000045	fsMin=0	fsGridNum=10	fdMax=3.6755869240000045tfdMin=0	fdGridNum=10	v0GridNum=10	L=24
2024-10-15 22:16:20	61.88917394	63.365580800000004	15	1	0	0	0	0
2024-10-15 22:16:30	62.426557744	64.340236616	15	1	0	0	0	0
2024-10-15 22:16:40	62.24613644	63.975866092000004	15	1	0	0	0	0
2024-10-15 22:16:50	62.624236352000004	64.6796504	15	1	0	0	0	0
2024-10-15 22:17:00	62.553644	64.54525835199999	15	1	0	0	0	0
2024-10-15 22:17:10	62.298480388	64.0729872	15	1	0	0	0	0
2024-10-15 22:17:20	62.606670928	64.6140956	15	1	0	0	0	0
2024-10-15 22:17:30	63.243213184	65.8444392	15	1	0	0	0	0
2024-10-15 22:17:40	61.949776304	63.381730964	15	1	0	0	0	0
2024-10-15 22:17:50	62.941470684	65.23587771199999	15	1	0	0	0	0
2024-10-15 22:18:00	61.99932636	63.443786096000004	15	1	0	0	0	0
2024-10-15 22:18:10	62.473811216	64.2638556	15	1	0	0	0	0
2024-10-15 22:18:20	63.500587712	66.1371724	15	1	0	0	0	0
2024-10-15 22:18:30	62.9196752	65.059749888	15	1	0	0	0	0
2024-10-15 22:18:40	62.886700124	64.9569728	15	1	0	0	0	0
2024-10-15 22:18:50	63.475606508	66.0716792	15	1	0	0	0	0
2024-10-15 22:19:00	63.291918848	65.7991272	15	1	0	0	0	0
2024-10-15 22:19:10	64.23576554	67.69832000000001	15	1	0	0	0	0
2024-10-15 22:19:20	62.918410172	65.3575972	15	1	0	0	0	0
2024-10-15 22:19:30	62.774608316	65.16399919999999	15	1	0	0	0	0
2024-10-15 22:19:40	62.291181024	64.342722944	15	1	0	0	0	0
2024-10-15 22:19:50	62.717167028	65.2641892	15	1	0	0	0	0
2024-10-15 22:20:00	63.261250476	66.380285168	15	1	0	0	0	0
2024-10-15 22:20:10	64.294308132	68.3590268	15	1	0	0	0	0
2024-10-15 22:20:20	63.102429528	66.0412166	15	1	0	0	0	0
2024-10-15 22:20:30	63.2711152	66.27366255999999	15	1	0	0	0	0
2024-10-15 22:20:40	62.77452264	65.295944652	15	1	0	0	0	0
2024-10-15 22:20:50	63.687795200000004	67.0639296	15	1	0	0	0	0
2024-10-15 22:21:00	61.999419456	63.930588692	15	1	0	0	0	0
2024-10-15 22:21:10	62.57758436	64.92426952	15	1	0	0	0	0
2024-10-15 22:21:20	62.755858012	65.256840216	15	1	0	0	0	0
2024-10-15 22:21:30	63.026118784	65.7430916	15	1	0	0	0	0
2024-10-15 22:21:40	63.496057096	66.656229312	15	1	0	0	0	0
2024-10-15 22:21:50	63.50037696	66.7111056	15	1	0	0	0	0
2024-10-15 22:22:00	62.942566428	65.67971757199999	15	1	0	0	0	0
2024-10-15 22:22:10	63.611751924000004	66.89089728	15	1	0	0	0	0
2024-10-15 22:22:20	62.568902928	64.8853516	15	1	0	0	0	0
2024-10-15 22:22:30	60.865144464000004	61.620539695999994	15	1	0	0	0	0
2024-10-15 22:22:40	62.385911388	64.449649052	15	1	0	0	0	0
2024-10-15 22:22:50	62.778669744	65.157133856	15	1	0	0	0	0
2024-10-15 22:23:00	62.584542	64.7983184	15	1	0	0	0	0
2024-10-15 22:23:10	62.922912632000006	65.415285436	15	1	0	0	0	0
2024-10-15 22:23:20	63.545090048	66.629378592	15	1	0	0	0	0
2024-10-15 22:23:30	61.100851024	61.972566848	15	1	0	0	0	0
2024-10-15 22:23:40	61.927145516	63.389201976	15	1	0	0	0	0
2024-10-15 22:23:50	62.08456128	63.662272	15	1	0	0	0	0
2024-10-15 22:24:00	62.466024544	64.4614924	15	1	0	0	0	0
2024-10-15 22:24:10	61.829125952	63.3988943	15	1	0	0	0	0
2024-10-15 22:24:20	61.721262288	63.312057779999996	15	1	0	0	0	0
2024-10-15 22:24:30	61.78082712	63.47959376	15	1	0	0	0	0
2024-10-15 22:24:40	63.521327524	66.7859568	15	1	0	0	0	0
2024-10-15 22:24:50	64.1816584	68.106310532	15	1	0	0	0	0
2024-10-15 22:25:00	62.4228616	64.7713084	15	1	0	0	0	0
2024-10-15 22:25:10	62.3645292	64.4748468	15	1	0	0	0	0
2024-10-15 22:25:20	62.450948352000005	64.463826992	15	1	0	0	0	0
2024-10-15 22:25:30	62.080805068000004	63.611863248000006	15	1	0	0	0	0
2024-10-15 22:25:40	63.2849092	65.7561264	15	1	0	0	0	0
2024-10-15 22:25:50	62.167026932	63.6606432	15	1	0	0	0	0
2024-10-15 22:26:00	61.823038256	62.942766352	15	1	0	0	0	0
2024-10-15 22:26:10	62.059063568	63.361861856	15	1	0	0	0	0
2024-10-15 22:26:20	62.999705312	65.1591004	15	1	0	0	0	0
2024-10-15 22:26:30	62.5049805	64.265874944	15	1	0	0	0	0
2024-10-15 22:26:40	61.867035248	63.052898976	15	1	0	0	0	0
2024-10-15 22:26:50	62.582253124	64.384396	15	1	0	0	0	0
2024-10-15 22:27:00	62.602176832	64.4351796	15	1	0	0	0	0
2024-10-15 22:27:10	62.288766064	63.833262063999996	15	1	0	0	0	0
2024-10-15 22:27:20	62.519154232	64.305139752	15	1	0	0	0	0
2024-10-15 22:27:30	62.64449832	64.627873904	15	1	0	0	0	0
2024-10-15 22:27:40	62.366837156	64.136886776	15	1	0	0	0	0
2024-10-15 22:27:50	64.5654884	68.355480144	15	1	0	0	0	0
2024-10-15 22:28:00	62.251047363999994	64.049594744	15	1	0	0	0	0
2024-10-15 22:28:10	63.25662338	65.889239456	15	1	0	0	0	0
2024-10-15 22:28:20	61.982293376	63.477922232	15	1	0	0	0	0
2024-10-15 22:28:30	62.647218955999996	64.73720623999999	15	1	0	0	0	0
2024-10-15 22:28:40	62.608049019999996	64.665637856	15	1	0	0	0	0
2024-10-15 22:28:50	63.489515872	66.3532788	15	1	0	0	0	0
2024-10-15 22:29:00	63.4487152	66.311367904	15	1	0	0	0	0
2024-10-15 22:29:10	62.787976439999994	65.150121748	15	1	0	0	0	0
2024-10-15 22:29:20	63.169689308	65.9733488	15	1	0	0	0	0
2024-10-15 22:29:30	63.418041344	66.499442368	15	1	0	0	0	0
2024-10-15 22:29:40	62.742060288000005	65.19281140800001	15	1	0	0	0	0
2024-10-15 22:29:50	63.059088456	65.70931608000001	15	1	0	0	0	0
2024-10-15 22:30:00	64.3252696	68.055041264	15	1	0	0	0	0
2024-10-15 22:30:10	63.233141216	66.029232148	15	1	0	0	0	0
2024-10-15 22:30:20	63.0381688	65.663089052	15	1	0	0	0	0
2024-10-15 22:30:30	61.19690624	62.190092148	15	1	0	0	0	0
2024-10-15 22:30:40	61.503305308	62.754721652	15	1	0	0	0	0
2024-10-15 22:30:50	62.718003388	65.0931932	15	1	0	0	0	0
2024-10-15 22:31:00	62.274326928	64.3525724	15	1	0	0	0	0
2024-10-15 22:31:10	63.265145595999996	66.3110716	15	1	0	0	0	0
2024-10-15 22:31:20	61.7581204	63.503697812	15	1	0	0	0	0
2024-10-15 22:31:30	62.624596096	65.0816404	15	1	0	0	0	0
2024-10-15 22:31:40	62.05273224	63.930027344	15	1	0	0	0	0
2024-10-15 22:31:50	62.1852832	64.124609644	15	1	0	0	0	0
2024-10-15 22:32:00	61.157142027999996	62.174320392	15	1	0	0	0	0
2024-10-15 22:32:10	62.041481312	63.865593204	15	1	0	0	0	0
2024-10-15 22:32:20	62.045738016	63.885164304	15	1	0	0	0	0
2024-10-15 22:32:30	62.941018192	65.609923872	15	1	0	0	0	0
2024-10-15 22:32:40	62.310529596	64.437000144	15	1	0	0	0	0
2024-10-15 22:32:50	61.906551792	63.592143832	15	1	0	0	0	0
2024-10-15 22:33:00	61.59135314	62.844929516	15	1	0	0	0	0
2024-10-15 22:33:10	62.295879556	64.08788	15	1	0	0	0	0
2024-10-15 22:33:20	63.01502056	65.46150146800001	15	1	0	0	0	0
2024-10-15 22:33:30	63.081753064	65.6394856	15	1	0	0	0	0
2024-10-15 22:33:40	62.53629626	64.621842	15	1	0	0	0	0
2024-10-15 22:33:50	62.89282772	65.312248984	15	1	0	0	0	0
2024-10-15 22:34:00	63.572968752	66.6282084	15	1	0	0	0	0
2024-10-15 22:34:10	63.841439196	67.17547705599999	15	1	0	0	0	0
2024-10-15 22:34:20	62.007961552	63.715011752	15	1	0	0	0	0
2024-10-15 22:34:30	62.200681292	63.995942192	15	1	0	0	0	0
