PROCESSDATA	2111LIC31102B Data	yyyy-MM-dd HH:mm:ss
8	10	2024-08-26 21:55:00	751
tagname	2111LIC31102B.MV	2111LIC31102B.PV	2111LIC31102B.SV	2111LIC31102B.MODE	bOpOFL	bPvOFL	bSpOFL	bAutOFL
desc	C301中段_OP	C301中段_PV	C301中段_SP	Aut	bOpOFL	bPvOFL	bSpOFL	bAutOFL
fsMax=1.954744296500003	fsMin=0	fsGridNum=10	fdMax=1.954744296500003tfdMin=0	fdGridNum=10	v0GridNum=10	L=24
2024-08-26 22:31:40	62.939341568	47.33431442	47.98181	1	0	0	0	0
2024-08-26 22:31:50	62.737338118000004	47.513383919999995	47.98181	1	0	0	0	0
2024-08-26 22:32:00	62.31752138	47.740415012	47.98181	1	0	0	0	0
2024-08-26 22:32:10	61.726565629999996	48.005130212	47.98181	1	0	0	0	0
2024-08-26 22:32:20	61.178301395999995	48.232916408	47.98181	1	0	0	0	0
2024-08-26 22:32:30	60.663580495999994	48.431686958	47.98181	1	0	0	0	0
2024-08-26 22:32:40	60.354199388	48.556690248	47.98181	1	0	0	0	0
2024-08-26 22:32:50	60.206156688	48.623733548000004	47.98181	1	0	0	0	0
2024-08-26 22:33:00	60.346016988	48.547211468	47.98181	1	0	0	0	0
2024-08-26 22:33:10	60.712086788	48.357888018000004	47.98181	1	0	0	0	0
2024-08-26 22:33:20	61.0975642	48.131106504	47.98181	1	0	0	0	0
2024-08-26 22:33:30	61.49829045	47.874893654000005	47.98181	1	0	0	0	0
2024-08-26 22:33:40	62.0169744	47.6264328	47.98181	1	0	0	0	0
2024-08-26 22:33:50	62.6283394	47.3840628	47.98181	1	0	0	0	0
2024-08-26 22:34:00	62.91834952	47.288342799999995	47.98181	1	0	0	0	0
2024-08-26 22:34:10	62.95586652	47.3078478	47.98181	1	0	0	0	0
2024-08-26 22:34:20	62.706846948	47.435263987999996	47.98181	1	0	0	0	0
2024-08-26 22:34:30	62.232691498	47.647467538	47.98181	1	0	0	0	0
2024-08-26 22:34:40	61.804399432	47.877152104	47.98181	1	0	0	0	0
2024-08-26 22:34:50	61.412142882	48.120571754	47.98181	1	0	0	0	0
2024-08-26 22:35:00	60.97254920792079	48.33071673267327	47.98181	1	0	0	0	0
2024-08-26 22:35:10	60.49576207920792	48.51471732673267	47.98181	1	0	0	0	0
2024-08-26 22:35:20	60.21048551818182	48.61784709090909	47.98181	1	0	0	0	0
2024-08-26 22:35:30	60.08834758888889	48.65208688888889	47.98181	1	0	0	0	0
2024-08-26 22:35:40	60.165177368	48.563943728	47.98181	1	0	0	0	0
2024-08-26 22:35:50	60.398338918	48.379642528	47.98181	1	0	0	0	0
2024-08-26 22:36:00	60.873181599999995	48.1275624	47.98181	1	0	0	0	0
2024-08-26 22:36:10	61.537916599999996	47.8222274	47.98181	1	0	0	0	0
2024-08-26 22:36:20	62.149924799999994	47.56328	47.98181	1	0	0	0	0
2024-08-26 22:36:30	62.72050479999999	47.34078	47.98181	1	0	0	0	0
2024-08-26 22:36:40	62.889576	47.306637372	47.98181	1	0	0	0	0
2024-08-26 22:36:50	62.743176	47.420489822	47.98181	1	0	0	0	0
2024-08-26 22:37:00	62.3929612	47.596164256	47.98181	1	0	0	0	0
2024-08-26 22:37:10	61.882606200000005	47.820413106000004	47.98181	1	0	0	0	0
2024-08-26 22:37:20	61.469346800000004	48.040383472	47.98181	1	0	0	0	0
2024-08-26 22:37:30	61.1323768	48.256992172	47.98181	1	0	0	0	0
2024-08-26 22:37:40	60.7871776	48.41838714	47.98181	1	0	0	0	0
2024-08-26 22:37:50	60.4355126	48.536399890000006	47.98181	1	0	0	0	0
2024-08-26 22:38:00	60.292613864	48.555955960000006	47.98181	1	0	0	0	0
2024-08-26 22:38:10	60.313745764000004	48.498153210000005	47.98181	1	0	0	0	0
2024-08-26 22:38:20	60.616060916	48.347421848	47.98181	1	0	0	0	0
2024-08-26 22:38:30	61.139305766	48.123675148000004	47.98181	1	0	0	0	0
2024-08-26 22:38:40	61.600210520000005	47.886432504000005	47.98181	1	0	0	0	0
2024-08-26 22:38:50	62.01213377	47.638585904	47.98181	1	0	0	0	0
2024-08-26 22:39:00	62.39300746268657	47.45973923482587	47.98181	1	0	0	0	0
2024-08-26 22:39:10	62.74948507462687	47.33510679701492	47.98181	1	0	0	0	0
2024-08-26 22:39:20	62.768284673366836	47.37145199396985	47.98181	1	0	0	0	0
2024-08-26 22:39:30	62.51080226130653	47.53950616482412	47.98181	1	0	0	0	0
2024-08-26 22:39:40	62.109484332	47.7391392	47.98181	1	0	0	0	0
2024-08-26 22:39:50	61.595152782	47.9635842	47.98181	1	0	0	0	0
2024-08-26 22:40:00	61.170959336	48.176177528	47.98181	1	0	0	0	0
2024-08-26 22:40:10	60.817588686	48.379458828	47.98181	1	0	0	0	0
2024-08-26 22:40:20	60.513991116	48.521092836	47.98181	1	0	0	0	0
2024-08-26 22:40:30	60.249500966	48.614289686	47.98181	1	0	0	0	0
2024-08-26 22:40:40	60.223804616	48.579607736	47.98181	1	0	0	0	0
2024-08-26 22:40:50	60.385731966	48.444449586	47.98181	1	0	0	0	0
2024-08-26 22:41:00	60.6602516	48.255638508	47.98181	1	0	0	0	0
2024-08-26 22:41:10	61.0232366	48.024671558	47.98181	1	0	0	0	0
2024-08-26 22:41:20	61.563667652	47.767829192	47.98181	1	0	0	0	0
2024-08-26 22:41:30	62.243520602	47.490656142	47.98181	1	0	0	0	0
2024-08-26 22:41:40	62.642585576	47.345632452	47.98181	1	0	0	0	0
2024-08-26 22:41:50	62.821031426	47.304440402	47.98181	1	0	0	0	0
2024-08-26 22:42:00	62.736845871999996	47.402454216	47.98181	1	0	0	0	0
2024-08-26 22:42:10	62.446307071999996	47.609844066	47.98181	1	0	0	0	0
2024-08-26 22:42:20	61.98435286	47.835940884	47.98181	1	0	0	0	0
2024-08-26 22:42:30	61.38771511	48.076736034	47.98181	1	0	0	0	0
2024-08-26 22:42:40	60.939840212	48.289606364	47.98181	1	0	0	0	0
2024-08-26 22:42:50	60.608850411999995	48.480535764	47.98181	1	0	0	0	0
2024-08-26 22:43:00	60.42606156	48.561449384	47.98181	1	0	0	0	0
2024-08-26 22:43:10	60.35971631	48.555922034	47.98181	1	0	0	0	0
2024-08-26 22:43:20	60.445847748	48.471548	47.98181	1	0	0	0	0
2024-08-26 22:43:30	60.651782298	48.325223	47.98181	1	0	0	0	0
2024-08-26 22:43:40	60.93695388	48.131444636000005	47.98181	1	0	0	0	0
2024-08-26 22:43:50	61.28438313	47.900381486	47.98181	1	0	0	0	0
2024-08-26 22:44:00	61.76360824	47.673059864	47.98181	1	0	0	0	0
2024-08-26 22:44:10	62.34638724	47.448678014	47.98181	1	0	0	0	0
2024-08-26 22:44:20	62.5776184	47.38652836	47.98181	1	0	0	0	0
2024-08-26 22:44:30	62.532633399999995	47.45184686	47.98181	1	0	0	0	0
2024-08-26 22:44:40	62.333702188	47.5918814	47.98181	1	0	0	0	0
2024-08-26 22:44:50	62.013813238	47.7906214	47.98181	1	0	0	0	0
2024-08-26 22:45:00	61.604837646268656	47.99085350746269	47.98181	1	0	0	0	0
2024-08-26 22:45:10	61.12586540746268	48.192257985074626	47.98181	1	0	0	0	0
2024-08-26 22:45:20	60.754516216582914	48.36444966582915	47.98181	1	0	0	0	0
2024-08-26 22:45:30	60.47122224673367	48.512739967336685	47.98181	1	0	0	0	0
2024-08-26 22:45:40	60.338349468	48.57071596	47.98181	1	0	0	0	0
2024-08-26 22:45:50	60.323664768	48.55773071	47.98181	1	0	0	0	0
2024-08-26 22:46:00	60.495934919999996	48.431339412	47.98181	1	0	0	0	0
2024-08-26 22:46:10	60.81509817	48.215843362	47.98181	1	0	0	0	0
2024-08-26 22:46:20	61.298824	47.980057672	47.98181	1	0	0	0	0
2024-08-26 22:46:30	61.911849	47.728330122	47.98181	1	0	0	0	0
