PROCESSDATA	2111FIC40102E Data	yyyy-MM-dd HH:mm:ss
8	10	2025-02-24 21:55:00	751
tagname	2111FIC40102E.MV	2111FIC40102E.PV	2111FIC40102E.SV	2111FIC40102E.MODE	bOpOFL	bPvOFL	bSpOFL	bAutOFL
desc	常底油进F401五路支管_OP	常底油进F401五路支管_PV	常底油进F401五路支管_SP	Aut	bOpOFL	bPvOFL	bSpOFL	bAutOFL
fsMax=21.93758230263158	fsMin=0	fsGridNum=10	fdMax=21.93758230263158tfdMin=0	fdGridNum=10	v0GridNum=10	L=24
2025-02-24 22:16:30	41.753955502	99.699342516	100.1494348	1	0	0	0	0
2025-02-24 22:16:40	41.661563076	99.9163926	99.494594	1	0	0	0	0
2025-02-24 22:16:50	41.793802038	98.7445584	99.0362366	1	0	0	0	0
2025-02-24 22:17:00	41.608086056000005	98.7445584	98.7987	1	0	1	0	1
2025-02-24 22:17:10	41.608086056000005	99.0620686	98.7987	1	1	0	1	0
2025-02-24 22:17:20	41.615289716	99.39704741666667	99.0132751	1	0	0	0	0
2025-02-24 22:17:30	41.654206978	98.97147632000001	99.096828294	1	0	0	0	0
2025-02-24 22:17:40	41.654206978	98.9133056	99.096828294	1	1	0	1	0
2025-02-24 22:17:50	41.77318228	99.41990860000001	99.8275757	1	0	0	0	0
2025-02-24 22:18:00	41.8430817	99.256325154	99.8588638	1	0	0	0	0
2025-02-24 22:18:10	41.80715205	99.821289	99.97215195999999	1	0	0	0	0
2025-02-24 22:18:20	41.85521055555555	99.24805816111112	99.52078888888889	1	0	0	0	0
2025-02-24 22:18:30	41.894121052	99.712845378	99.9441678	1	0	0	0	0
2025-02-24 22:18:40	42.220454077999996	99.233754572	100.630432	1	0	0	0	0
2025-02-24 22:18:50	42.27987684	100.52611574000001	101.51281646	1	0	0	0	0
2025-02-24 22:19:00	41.972167024	101.02467696	100.6008402	1	0	0	0	0
2025-02-24 22:19:10	41.67658633	100.60058685999999	99.24397	1	0	0	0	0
2025-02-24 22:19:20	42.06639882222222	99.84925455	100.18552249999999	1	0	0	0	0
2025-02-24 22:19:30	42.1564032	100.00467766	100.494438	1	0	0	0	0
2025-02-24 22:19:40	41.88516407	100.51286175999999	99.95955288	1	0	0	0	0
2025-02-24 22:19:50	42.313291792	100.57436026	101.685257	1	0	0	0	0
2025-02-24 22:20:00	42.313291792	100.57436026	101.685257	1	1	1	1	1
2025-02-24 22:20:10	42.414397462	101.08326114	101.3829328	1	0	0	0	0
2025-02-24 22:20:20	42.338653388888886	100.76540411111111	100.69661616666667	1	0	0	0	0
2025-02-24 22:20:30	41.9425049	101.1574	99.50623	1	0	0	0	0
2025-02-24 22:20:40	41.9143714	100.4132987	99.0906754	1	0	0	0	0
2025-02-24 22:20:50	41.978699199999994	99.79237298000001	99.1636854	1	0	0	0	0
2025-02-24 22:21:00	41.8213256	99.9700892	99.189686554	1	0	0	0	0
2025-02-24 22:21:10	41.978775204	99.735027336	99.80921	1	0	0	0	0
2025-02-24 22:21:20	42.096473744444445	99.63324888888889	100.07562655555554	1	0	0	0	0
2025-02-24 22:21:30	42.0247269	100.088562	100.111778	1	0	0	0	0
2025-02-24 22:21:40	41.836792626000005	100.02435996	99.4554024	1	0	0	0	0
2025-02-24 22:21:50	41.985122642	99.811846064	99.8470459	1	0	0	0	0
2025-02-24 22:22:00	42.130437506	99.58486532	100.116089	1	0	0	0	0
2025-02-24 22:22:10	42.063261864	99.9382646	100.0287238	1	0	0	0	0
2025-02-24 22:22:20	42.04305771666667	100.0155388888889	99.98298611111112	1	0	0	0	0
2025-02-24 22:22:30	42.1610222	99.76754	100.174965	1	0	0	0	0
2025-02-24 22:22:40	42.005713124	100.1631294	99.8415	1	0	0	0	0
2025-02-24 22:22:50	42.303727416	99.994877008	100.759977	1	0	0	0	0
2025-02-24 22:23:00	42.492136316	99.89120412	101.02533584	1	0	0	0	0
2025-02-24 22:23:10	42.342899200000005	101.0526922	101.020233	1	0	0	0	0
2025-02-24 22:23:20	42.114727438888885	101.3302541111111	100.37740244444444	1	0	0	0	0
2025-02-24 22:23:30	42.062027984	100.9399761	99.9128	1	0	0	0	0
2025-02-24 22:23:40	41.974892988	101.01358736	99.798278	1	0	0	0	0
2025-02-24 22:23:50	42.334241999999996	99.6273284	100.21312	1	0	0	0	0
2025-02-24 22:24:00	42.008185839999996	100.62558838	99.83006	1	0	0	0	0
2025-02-24 22:24:10	42.142026359999996	100.0837844	100.02379121999999	1	0	0	0	0
2025-02-24 22:24:20	42.173307655555554	99.95271349999999	100.01501494444445	1	0	0	0	0
2025-02-24 22:24:30	41.8318176	100.25209	98.97621	1	0	0	0	0
2025-02-24 22:24:40	41.899488832	99.74349	99.143	1	0	0	0	0
2025-02-24 22:24:50	41.89582762	99.983719476	99.5505834	1	0	0	0	0
2025-02-24 22:25:00	41.89582762	99.983719476	99.5505834	1	1	1	1	1
2025-02-24 22:25:10	42.078261622	100.109346	100.331795	1	0	0	0	0
2025-02-24 22:25:20	42.59440444444444	100.23939727777777	102.14473138888889	1	0	0	0	0
2025-02-24 22:25:30	42.7459145	101.1498	102.774452	1	0	0	0	0
2025-02-24 22:25:40	42.933776798000004	101.87573434	103.38567442	1	0	0	0	0
2025-02-24 22:25:50	43.065553200000004	102.38884338	103.442329	1	0	0	0	0
2025-02-24 22:26:00	43.357097002	102.42338884	103.943253	1	0	0	0	0
2025-02-24 22:26:10	43.135105682	102.87844948	103.13456866	1	0	0	0	0
2025-02-24 22:26:20	43.04424986666667	103.24665116666667	103.00705733333334	1	0	0	0	0
2025-02-24 22:26:30	43.2527733	102.678772	103.151031	1	0	0	0	0
2025-02-24 22:26:40	43.185009038000004	102.7209655	102.7431	1	0	0	0	0
2025-02-24 22:26:50	43.0766734	102.21850196	101.86709412	1	0	0	0	0
2025-02-24 22:27:00	42.5789944	102.1553586	100.464249	1	0	0	0	0
2025-02-24 22:27:10	42.5789944	102.1553586	100.464249	1	0	0	0	0
2025-02-24 22:27:20	42.052071104	101.30678766	99.08614	1	0	0	0	0
2025-02-24 22:27:30	42.052071104	101.30678766	99.08614	1	0	0	0	0
2025-02-24 22:27:40	41.770539964	100.66290784	98.73617	1	0	0	0	0
2025-02-24 22:27:50	41.730263185999995	99.7627328	98.4631	1	0	0	0	0
2025-02-24 22:28:00	41.6494048	99.5963074	98.5489126	1	0	0	0	0
2025-02-24 22:28:10	41.52272558333333	98.86826805000001	97.947655	1	0	0	0	0
2025-02-24 22:28:20	41.425019202	98.748934586	97.97809960000001	1	0	0	0	0
2025-02-24 22:28:30	41.340574086000004	98.845233	98.16083	1	0	0	0	0
2025-02-24 22:28:40	41.479997064	98.43265480000001	98.46900720000001	1	0	0	0	0
2025-02-24 22:28:50	41.359314368	99.06174376	98.616400658	1	0	0	0	0
2025-02-24 22:29:00	41.8125574	98.744801	100.081512	1	0	0	0	0
2025-02-24 22:29:10	41.80874463333333	99.05764833333333	99.84848756111111	1	0	0	0	0
2025-02-24 22:29:20	41.7498322	99.19534	99.6228561	1	0	0	0	0
2025-02-24 22:29:30	41.6121164	99.4138128	99.31059329600001	1	0	0	0	0
2025-02-24 22:29:40	41.718897286	98.774529	99.0011749	1	0	0	0	0
2025-02-24 22:29:50	41.8215006	98.67241465800001	99.29965	1	0	0	0	0
2025-02-24 22:30:00	41.8215006	98.67241465800001	99.29965	1	1	1	1	1
2025-02-24 22:30:10	41.77947311111111	99.67258972222221	99.86373344444445	1	0	0	0	0
2025-02-24 22:30:20	42.0800667	99.6233139	100.751228	1	0	0	0	0
2025-02-24 22:30:30	42.147261	99.535663484	100.415726	1	0	0	0	0
2025-02-24 22:30:40	41.9752189	99.93939420000001	99.86010896	1	0	0	0	0
2025-02-24 22:30:50	42.133896218000004	99.526681646	100.01991928	1	0	0	0	0
2025-02-24 22:31:00	41.960987044	100.078729786	99.755806	1	0	0	0	0
2025-02-24 22:31:10	42.0192175265625	99.6611128125	99.7140268265625	1	0	0	0	0
2025-02-24 22:31:20	41.947676598	100.15255468	100.058716	1	0	0	0	0
2025-02-24 22:31:30	41.947676598	100.15255468	100.058716	1	1	1	1	1
2025-02-24 22:31:40	42.035135956	100.09687064	100.25040828	1	0	0	0	0
2025-02-24 22:31:50	42.646106754	101.20980982	102.878616	1	0	0	0	0
2025-02-24 22:32:00	42.646106754	101.20980982	102.878616	1	1	1	1	1
2025-02-24 22:32:10	42.879548356	101.55454194000001	103.23825088	1	0	0	0	0
2025-02-24 22:32:20	42.65225	102.038383	101.446045	1	0	0	0	0
2025-02-24 22:32:30	42.675998984	101.3774458	100.947289	1	0	0	0	0
2025-02-24 22:32:40	42.675998984	101.3774458	100.947289	1	1	1	1	1
2025-02-24 22:32:50	42.616741837999996	101.53005148	101.10181014000001	1	0	0	0	0
2025-02-24 22:33:00	42.744594666000005	100.83098692	101.07856166	1	0	0	0	0
2025-02-24 22:33:10	43.113282649999995	100.040474692	101.888062	1	0	0	0	0
2025-02-24 22:33:20	43.137954638888885	100.10115894444445	101.8444885	1	0	0	0	0
2025-02-24 22:33:30	43.03817347115385	100.02378813461539	101.350052	1	0	0	0	0
2025-02-24 22:33:40	42.3456764	102.41214	100.961014	1	0	0	0	0
2025-02-24 22:33:50	42.542769926	101.66786431999999	101.151871	1	0	0	0	0
2025-02-24 22:34:00	42.578342574	102.10025106	101.629745	1	0	0	0	0
2025-02-24 22:34:10	42.636404778	101.28184996	101.02251356	1	0	0	0	0
2025-02-24 22:34:20	42.736130292187504	100.034792515625	100.397597375	1	0	0	0	0
2025-02-24 22:34:30	42.162689808163265	100.48507708163265	98.9991287755102	1	0	0	0	0
2025-02-24 22:34:40	42.000051264	99.75105961999999	98.39015	1	0	0	0	0
2025-02-24 22:34:50	41.960627792	99.360265134	98.6300116	1	0	0	0	0
2025-02-24 22:35:00	41.960627792	99.360265134	98.6300116	1	1	1	1	1
2025-02-24 22:35:10	42.289104314	99.68326728	100.562447	1	0	0	0	0
2025-02-24 22:35:20	42.14558203333333	100.37822433333334	100.46048455555555	1	0	0	0	0
2025-02-24 22:35:30	42.1591034	100.359253	100.418419	1	0	0	0	0
2025-02-24 22:35:40	42.352945508	100.13771224	100.76499774	1	0	0	0	0
2025-02-24 22:35:50	42.59995686	100.69961496	101.885086	1	0	0	0	0
2025-02-24 22:36:00	42.759019086	101.05883228	102.275284	1	0	0	0	0
2025-02-24 22:36:10	42.57237687	101.74324694	101.6985534	1	0	0	0	0
2025-02-24 22:36:20	42.57116652777778	100.87419794444445	100.99499975555555	1	0	0	0	0
2025-02-24 22:36:30	42.52429	99.14385	99.37683	1	0	0	0	0
2025-02-24 22:36:40	42.161199832	100.36670477999999	99.59612	1	0	0	0	0
2025-02-24 22:36:50	42.095009022	100.42310608	99.6710288	1	0	0	0	0
2025-02-24 22:37:00	42.10657226599999	99.27473223999999	98.9626596	1	0	0	0	0
2025-02-24 22:37:10	42.008566183999996	98.711662246	98.57969	1	0	0	0	0
2025-02-24 22:37:20	41.76082127777778	99.70379888888888	99.03229388888889	1	0	0	0	0
2025-02-24 22:37:30	42.0328979	98.89063	99.50275	1	0	0	0	0
2025-02-24 22:37:40	41.62361550999999	100.19891468	99.312702082	1	0	0	0	0
2025-02-24 22:37:50	41.807157600000004	99.132268	99.13306	1	0	0	0	0
2025-02-24 22:38:00	41.776382577999996	99.3177378	99.20335	1	0	0	0	0
2025-02-24 22:38:10	41.8216214	99.5699364	99.67179622	1	0	0	0	0
2025-02-24 22:38:20	42.01462047777778	99.37157555555555	100.02360463333333	1	0	0	0	0
2025-02-24 22:38:30	41.875247372000004	100.0674129	100.044426	1	0	0	0	0
2025-02-24 22:38:40	41.986571524	99.922856578	100.21369464	1	0	0	0	0
2025-02-24 22:38:50	42.22942552	99.98610308800001	100.91346054	1	0	0	0	0
2025-02-24 22:39:00	42.382942004	99.7906744	100.931923	1	0	0	0	0
2025-02-24 22:39:10	42.33744941111111	100.48904972222222	100.92000027777779	1	0	0	0	0
2025-02-24 22:39:20	42.4486351	100.88385	101.511078	1	0	0	0	0
2025-02-24 22:39:30	42.527540416	101.38832588	101.97229126	1	0	0	0	0
2025-02-24 22:39:40	42.944973501999996	101.30750842	102.901863	1	0	0	0	0
2025-02-24 22:39:50	42.850710047999996	102.13042951999999	102.711456	1	0	0	0	0
2025-02-24 22:40:00	42.850710047999996	102.13042951999999	102.711456	1	1	1	1	1
2025-02-24 22:40:10	42.773230636	102.11347318	102.0931528	1	0	0	0	0
2025-02-24 22:40:20	42.6616821	100.596512	100.481361	1	0	0	0	0
2025-02-24 22:40:30	42.6948058	101.92947018000001	102.112816	1	0	0	0	0
2025-02-24 22:40:40	42.6948058	101.92947018000001	102.112816	1	0	0	0	0
2025-02-24 22:40:50	42.994267308000005	102.08696828	103.02604756000001	1	0	0	0	0
2025-02-24 22:41:00	43.20290431	102.44890240000001	103.218941	1	0	0	0	0
2025-02-24 22:41:10	43.271459755555554	102.73122505555556	103.34080372222222	1	0	0	0	0
2025-02-24 22:41:20	43.271459755555554	102.73122505555556	103.34080372222222	1	1	1	1	1
2025-02-24 22:41:30	43.22442	102.617943	102.709793	1	0	0	0	0
2025-02-24 22:41:40	43.205358582	102.89274624000001	102.88911304	1	0	0	0	0
2025-02-24 22:41:50	42.88030124	102.2086417	100.9801	1	0	0	0	0
2025-02-24 22:42:00	42.463869855999995	101.85973906000001	99.6209259	1	0	0	0	0
2025-02-24 22:42:10	42.483019442	101.27461414	99.906017452	1	0	0	0	0
2025-02-24 22:42:20	42.31732583888889	100.30450561111111	99.04943833333333	1	0	0	0	0
2025-02-24 22:42:30	42.116967362	100.97697552000001	99.6675718	1	0	0	0	0
2025-02-24 22:42:40	42.540311898	100.64809828	101.166916	1	0	0	0	0
2025-02-24 22:42:50	42.35553058	101.10320444	100.84058084	1	0	0	0	0
2025-02-24 22:43:00	42.633559059999996	100.64403022	101.34409387999999	1	0	0	0	0
2025-02-24 22:43:10	42.40469786111111	100.8537498888889	100.770362	1	0	0	0	0
2025-02-24 22:43:20	42.5400543	101.017357	101.412758	1	0	0	0	0
2025-02-24 22:43:30	42.882227772	100.96548848	102.30747162	1	0	0	0	0
2025-02-24 22:43:40	42.96924508	102.04607302000001	103.183395	1	0	0	0	0
2025-02-24 22:43:50	42.559675199999994	102.34375718	101.388741	1	0	0	0	0
2025-02-24 22:44:00	42.398398	101.50557989999999	100.20057458	1	0	0	0	0
2025-02-24 22:44:10	42.18200155	101.09013117222221	99.59326944444445	1	0	0	0	0
2025-02-24 22:44:20	42.2377129	100.650024	99.90711	1	0	0	0	0
2025-02-24 22:44:30	42.124530416	100.57517664000001	99.83345	1	0	0	0	0
2025-02-24 22:44:40	42.519480428	100.8664062	101.52607062	1	0	0	0	0
2025-02-24 22:44:50	42.703201438	101.24294122	102.28665096	1	0	0	0	0
2025-02-24 22:45:00	42.703201438	101.24294122	102.28665096	1	1	1	1	1
2025-02-24 22:45:10	42.83573742222222	102.0387426111111	102.66353472222221	1	0	0	0	0
2025-02-24 22:45:20	43.0112762	101.62838	102.624855	1	0	0	0	0
2025-02-24 22:45:30	43.0966982	102.21844566	103.06837428	1	0	0	0	0
2025-02-24 22:45:40	43.044850304	102.07947204	102.379463	1	0	0	0	0
2025-02-24 22:45:50	42.896918372	102.45910814	102.109741	1	0	0	0	0
2025-02-24 22:46:00	42.6272284	102.07502554	100.88020365999999	1	0	0	0	0
2025-02-24 22:46:10	42.50509897222222	101.80155183333332	100.52593416666666	1	0	0	0	0
2025-02-24 22:46:20	42.50509897222222	101.80155183333332	100.52593416666666	1	1	1	1	1
2025-02-24 22:46:30	42.5412369	101.795578	101.109169	1	0	0	0	0
2025-02-24 22:46:40	42.953932366000004	101.74413162	102.572823	1	0	0	0	0
2025-02-24 22:46:50	42.976028332	101.9487256	102.53980268	1	0	0	0	0
