PROCESSDATA	2111FIC40102C Data	yyyy-MM-dd HH:mm:ss
8	10	2024-09-04 21:55:00	751
tagname	2111FIC40102C.MV	2111FIC40102C.PV	2111FIC40102C.SV	2111FIC40102C.MODE	bOpOFL	bPvOFL	bSpOFL	bAutOFL
desc	常底油进F401三路支管_OP	常底油进F401三路支管_PV	常底油进F401三路支管_SP	Aut	bOpOFL	bPvOFL	bSpOFL	bAutOFL
fsMax=1.6146241691836742	fsMin=0	fsGridNum=10	fdMax=1.6146241691836742tfdMin=0	fdGridNum=10	v0GridNum=10	L=24
2024-09-04 22:08:20	42.44121552	101.5003862	100.44565653	1	0	0	0	0
2024-09-04 22:08:30	42.24972537	100.31182480000001	99.17295	1	0	0	0	0
2024-09-04 22:08:40	42.10360716	100.146449	98.94617	1	0	0	0	0
2024-09-04 22:08:50	41.93989567	99.8525094	98.66163142	1	0	0	0	0
2024-09-04 22:09:00	41.879209159999995	99.59677959000001	98.848886	1	0	0	0	0
2024-09-04 22:09:10	41.67404368	99.516314	98.47262	1	0	0	0	0
2024-09-04 22:09:20	41.68287469	99.143939	98.62458	1	0	0	0	0
2024-09-04 22:09:30	41.74304884	99.27184899999999	99.22936161000001	1	0	0	0	0
2024-09-04 22:09:40	41.57387505	99.66532639	99.09399149000001	1	0	0	0	0
2024-09-04 22:09:50	41.82723351	99.197793	99.606926	1	0	0	0	0
2024-09-04 22:10:00	42.16290639	98.92085399999999	100.248718	1	0	0	0	0
2024-09-04 22:10:10	42.61216678	99.141998	101.4502789	1	0	0	0	0
2024-09-04 22:10:20	43.12330131	99.3908491	102.2802081	1	0	0	0	0
2024-09-04 22:10:30	42.30317119	102.6422279	101.676735	1	0	0	0	0
2024-09-04 22:10:40	42.48054173	100.7301418	100.677856	1	0	0	0	0
2024-09-04 22:10:50	42.21266126	100.89263700000001	99.95135780000001	1	0	0	0	0
2024-09-04 22:11:00	42.094239628169014	100.64795288732394	99.56256371830986	1	0	0	0	0
2024-09-04 22:11:10	41.97475744186046	100.34325597674419	99.36401596279069	1	0	0	0	0
2024-09-04 22:11:20	41.87908	99.8556945	98.9297943	1	0	0	0	0
2024-09-04 22:11:30	42.202444	99.630787	100.20354	1	0	0	0	0
2024-09-04 22:11:40	42.44416657	100.02755189999999	101.17952539999999	1	0	0	0	0
2024-09-04 22:11:50	43.12601171	99.7011751	102.334221	1	0	0	0	0
2024-09-04 22:12:00	42.670427319999995	102.7890301	102.737411	1	0	0	0	0
2024-09-04 22:12:10	42.667352480000005	102.70889919999999	102.586398	1	0	0	0	0
2024-09-04 22:12:20	43.00122557	101.3512852	102.4623104	1	0	0	0	0
2024-09-04 22:12:30	42.96157191	101.2645318	101.946983	1	0	0	0	0
2024-09-04 22:12:40	42.954873590000005	101.7379672	102.123474	1	0	0	0	0
2024-09-04 22:12:50	43.03081588	101.29284609999999	101.60855439999999	1	0	0	0	0
2024-09-04 22:13:00	42.90890009	101.94920409999999	101.7088224	1	0	0	0	0
2024-09-04 22:13:10	42.51777005	102.4795994	100.915749	1	0	0	0	0
2024-09-04 22:13:20	42.492046370000004	101.45024599999999	100.4895	1	0	0	0	0
2024-09-04 22:13:30	42.492046370000004	101.45024599999999	100.4895	1	0	0	0	0
2024-09-04 22:13:40	42.70881539	100.7206261	101.06905219999999	1	0	0	0	0
2024-09-04 22:13:50	42.656921000000004	101.0354956	101.143288	1	0	0	0	0
2024-09-04 22:14:00	42.292953999999995	101.04931590000001	99.84128	1	0	0	0	0
2024-09-04 22:14:10	41.926221340000005	100.61150899	98.69048599999999	1	0	0	0	0
2024-09-04 22:14:20	42.20332529	99.69049225	99.3581677	1	0	0	0	0
2024-09-04 22:14:30	42.65153843	99.65454410000001	100.943214	1	0	0	0	0
2024-09-04 22:14:40	42.65153843	99.65454410000001	100.943214	1	0	0	0	0
2024-09-04 22:14:50	42.1770835	101.922771	100.8947185	1	0	0	0	0
2024-09-04 22:15:00	42.58277374	100.1615749	100.7410632	1	0	0	0	0
2024-09-04 22:15:10	42.58277374	100.1615749	100.7410632	1	0	0	0	0
2024-09-04 22:15:20	42.114624490000004	101.1069857	99.48309	1	0	0	0	0
2024-09-04 22:15:30	42.03288147	100.1316164	98.940853	1	0	0	0	0
2024-09-04 22:15:40	41.940395790000004	99.57100200000001	98.537142	1	0	0	0	0
2024-09-04 22:15:50	41.89049643	99.717296	99.07466	1	0	0	0	0
2024-09-04 22:16:00	42.11317663	99.65985031000001	100.024559	1	0	0	0	0
2024-09-04 22:16:10	42.11317663	99.65985031000001	100.024559	1	0	0	0	0
2024-09-04 22:16:20	42.13498759	99.433989	99.497445	1	0	0	0	0
2024-09-04 22:16:30	42.5800702	98.957441	100.801025	1	0	0	0	0
2024-09-04 22:16:40	42.8452662	99.327952	101.243263	1	0	0	0	0
2024-09-04 22:16:50	42.8452662	99.327952	101.243263	1	0	0	0	0
2024-09-04 22:17:00	42.80771715	100.3239742	101.5985733	1	0	0	0	0
2024-09-04 22:17:10	43.14858158	100.2683302	101.9853	1	0	0	0	0
2024-09-04 22:17:20	42.63469731	102.5033971	101.802055	1	0	0	0	0
2024-09-04 22:17:30	42.61262701	101.1675744	101.00611520000001	1	0	0	0	0
2024-09-04 22:17:40	42.38144654	100.9729222	100.20711170000001	1	0	0	0	0
2024-09-04 22:17:50	41.950894930000004	100.4593439	98.70563	1	0	0	0	0
2024-09-04 22:18:00	41.83731855	99.553381	98.15643	1	0	0	0	0
2024-09-04 22:18:10	41.676806309999996	99.312412	98.02395940000001	1	0	0	0	0
2024-09-04 22:18:20	41.64277887	99.09637000000001	98.179294	1	0	0	0	0
2024-09-04 22:18:30	41.518713000000005	98.56351655	97.79282	1	0	0	0	0
2024-09-04 22:18:40	41.61722674	98.944884	98.88634	1	0	0	0	0
2024-09-04 22:18:50	41.88452376	98.50691499999999	99.398139	1	0	0	0	0
