PROCESSDATA	RHT.7050-342_FIC10112 Data	yyyy-MM-dd HH:mm:ss
8	10	2024-06-29 21:54:50	751
tagname	LYCDU.RHT.7050-342_FIC10112.MV	LYCDU.RHT.7050-342_FIC10112.PV	LYCDU.RHT.7050-342_FIC10112.SV	LYCDU.RHT.7050-342_FIC10112.MODE	bOpOFL	bPvOFL	bSpOFL	bAutOFL
desc	开工蜡油自工厂罐区来流量控制_OP	开工蜡油自工厂罐区来流量控制_PV	开工蜡油自工厂罐区来流量控制_SP	Aut	bOpOFL	bPvOFL	bSpOFL	bAutOFL
fsMax=4.3928235	fsMin=0	fsGridNum=10	fdMax=4.3928235tfdMin=0	fdGridNum=10	v0GridNum=10	L=24
2024-06-29 22:20:10	1.281506	3.503246E-44	0	1	0	0	0	0
2024-06-29 22:20:20	1.281506	3.503246E-44	0	1	0	0	0	0
2024-06-29 22:20:30	1.281506	3.503246E-44	0	1	0	0	0	0
2024-06-29 22:20:40	1.281506	3.503246E-44	0	1	0	0	0	0
2024-06-29 22:20:50	1.281506	3.503246E-44	0	1	0	0	0	0
2024-06-29 22:21:00	1.281506	3.503246E-44	0	1	0	0	0	0
2024-06-29 22:21:10	1.281506	3.503246E-44	0	1	0	0	0	0
2024-06-29 22:21:20	1.281506	3.503246E-44	0	1	0	0	0	0
2024-06-29 22:21:30	1.281506	3.503246E-44	0	1	0	0	0	0
2024-06-29 22:21:40	1.281506	3.503246E-44	0	1	0	0	0	0
2024-06-29 22:21:50	1.281506	3.503246E-44	0	1	0	0	0	0
2024-06-29 22:22:00	1.281506	3.503246E-44	0.001408695	1	0	0	0	0
2024-06-29 22:22:10	1.281506	3.503246E-44	0.004226085	1	0	0	0	0
2024-06-29 22:22:20	1.281506	3.503246E-44	0.001408695	1	0	0	0	0
2024-06-29 22:22:30	1.281506	3.503246E-44	0.001408695	1	0	0	0	0
2024-06-29 22:22:40	1.281506	3.503246E-44	0	1	0	0	0	0
2024-06-29 22:22:50	1.281506	3.503246E-44	0.0009684055	1	0	0	0	0
2024-06-29 22:23:00	1.281506	3.503246E-44	0.0009684054	1	0	0	0	0
2024-06-29 22:23:10	1.281506	3.503246E-44	0	1	0	0	0	0
2024-06-29 22:23:20	1.281506	3.503246E-44	0	1	0	0	0	0
2024-06-29 22:23:30	1.281506	3.503246E-44	0	1	0	0	0	0
2024-06-29 22:23:40	1.281506	3.503246E-44	0	1	0	0	0	0
2024-06-29 22:23:50	1.281506	3.503246E-44	0.001877108	1	0	0	0	0
2024-06-29 22:24:00	1.281506	3.503246E-44	0.001877108	1	0	0	0	0
2024-06-29 22:24:10	1.281506	3.503246E-44	0.001877108	1	0	0	0	0
2024-06-29 22:24:20	1.281506	3.503246E-44	0	1	0	0	0	0
2024-06-29 22:24:30	1.281506	3.503246E-44	0.002801682	1	0	0	0	0
2024-06-29 22:24:40	1.281506	3.503246E-44	0	1	0	0	0	0
2024-06-29 22:24:50	1.281506	3.503246E-44	0	1	0	0	0	0
2024-06-29 22:24:50	1.281506	3.503246E-44	0	1	0	0	0	0
2024-06-29 22:25:10	1.281506	3.503246E-44	0	1	0	0	0	0
2024-06-29 22:25:20	1.281506	3.503246E-44	0	1	0	0	0	0
2024-06-29 22:25:30	1.281506	3.503246E-44	0	1	0	0	0	0
2024-06-29 22:25:40	1.281506	3.503246E-44	0	1	0	0	0	0
2024-06-29 22:25:50	1.281506	3.503246E-44	0	1	0	0	0	0
2024-06-29 22:26:00	1.281506	3.503246E-44	0	1	0	0	0	0
2024-06-29 22:26:10	1.281506	3.503246E-44	0	1	0	0	0	0
2024-06-29 22:26:20	1.281506	3.503246E-44	0	1	0	0	0	0
2024-06-29 22:26:30	1.281506	3.503246E-44	0	1	0	0	0	0
2024-06-29 22:26:40	1.281506	3.503246E-44	0.001395006	1	0	0	0	0
2024-06-29 22:26:50	1.281506	3.503246E-44	0.001395006	1	0	0	0	0
2024-06-29 22:27:00	1.281506	3.503246E-44	0	1	0	0	0	0
2024-06-29 22:27:10	1.281506	3.503246E-44	0	1	0	0	0	0
2024-06-29 22:27:20	1.281506	3.503246E-44	0	1	0	0	0	0
2024-06-29 22:27:30	1.281506	3.503246E-44	0	1	0	0	0	0
2024-06-29 22:27:40	1.281506	3.503246E-44	0	1	0	0	0	0
2024-06-29 22:27:50	1.281506	3.503246E-44	0	1	0	0	0	0
2024-06-29 22:28:00	1.281506	3.503246E-44	0	1	0	0	0	0
2024-06-29 22:28:10	1.281506	3.503246E-44	0	1	0	0	0	0
2024-06-29 22:28:20	1.281506	3.503246E-44	0	1	0	0	0	0
2024-06-29 22:28:30	1.281506	3.503246E-44	0	1	0	0	0	0
2024-06-29 22:28:40	1.281506	3.503246E-44	0	1	0	0	0	0
2024-06-29 22:28:50	1.281506	3.503246E-44	0	1	0	0	0	0
2024-06-29 22:29:00	1.281506	3.503246E-44	0.001385673	1	0	0	0	0
2024-06-29 22:29:10	1.281506	3.503246E-44	0.004157019	1	0	0	0	0
2024-06-29 22:29:20	1.281506	3.503246E-44	0.004157019	1	0	0	0	0
2024-06-29 22:29:30	1.281506	3.503246E-44	0.001385673	1	0	0	0	0
2024-06-29 22:29:40	1.281506	3.503246E-44	0	1	0	0	0	0
2024-06-29 22:29:50	1.281506	3.503246E-44	0	1	0	0	0	0
2024-06-29 22:29:50	1.281506	3.503246E-44	0	1	0	0	0	0
2024-06-29 22:30:10	1.281506	3.503246E-44	0	1	0	0	0	0
2024-06-29 22:30:20	1.281506	3.503246E-44	0	1	0	0	0	0
2024-06-29 22:30:30	1.281506	3.503246E-44	0	1	0	0	0	0
2024-06-29 22:30:40	1.281506	3.503246E-44	0	1	0	0	0	0
2024-06-29 22:30:50	1.281506	3.503246E-44	0	1	0	0	0	0
2024-06-29 22:31:00	1.281506	3.503246E-44	0	1	0	0	0	0
2024-06-29 22:31:10	1.281506	3.503246E-44	0	1	0	0	0	0
2024-06-29 22:31:20	1.281506	3.503246E-44	0	1	0	0	0	0
2024-06-29 22:31:30	1.281506	3.503246E-44	0	1	0	0	0	0
2024-06-29 22:31:40	1.281506	3.503246E-44	0	1	0	0	0	0
2024-06-29 22:31:50	1.281506	3.503246E-44	0.002758072	1	0	0	0	0
2024-06-29 22:32:00	1.281506	3.503246E-44	0.002758072	1	0	0	0	0
2024-06-29 22:32:10	1.281506	3.503246E-44	0.002758072	1	0	0	0	0
2024-06-29 22:32:20	1.281506	3.503246E-44	0	1	0	0	0	0
2024-06-29 22:32:30	1.281506	3.503246E-44	0	1	0	0	0	0
2024-06-29 22:32:40	1.281506	3.503246E-44	0	1	0	0	0	0
2024-06-29 22:32:50	1.281506	3.503246E-44	0.00648681	1	0	0	0	0
2024-06-29 22:33:00	1.281506	3.503246E-44	0.00648681	1	0	0	0	0
2024-06-29 22:33:10	1.281506	3.503246E-44	0.00648681	1	0	0	0	0
2024-06-29 22:33:20	1.281506	3.503246E-44	0	1	0	0	0	0
2024-06-29 22:33:30	1.281506	3.503246E-44	0	1	0	0	0	0
2024-06-29 22:33:40	1.281506	3.503246E-44	0	1	0	0	0	0
2024-06-29 22:33:50	1.281506	3.503246E-44	0	1	0	0	0	0
2024-06-29 22:34:00	1.281506	3.503246E-44	0	1	0	0	0	0
2024-06-29 22:34:10	1.281506	3.503246E-44	0	1	0	0	0	0
2024-06-29 22:34:20	1.281506	3.503246E-44	0	1	0	0	0	0
2024-06-29 22:34:30	1.281506	3.503246E-44	0	1	0	0	0	0
2024-06-29 22:34:40	1.281506	3.503246E-44	0	1	0	0	0	0
2024-06-29 22:34:50	1.281506	3.503246E-44	0	1	0	0	0	0
2024-06-29 22:34:50	1.281506	3.503246E-44	0	1	0	0	0	0
2024-06-29 22:35:10	1.281506	3.503246E-44	0	1	0	0	0	0
2024-06-29 22:35:20	1.281506	3.503246E-44	0	1	0	0	0	0
2024-06-29 22:35:30	1.281506	3.503246E-44	0	1	0	0	0	0
2024-06-29 22:35:40	1.281506	3.503246E-44	0	1	0	0	0	0
2024-06-29 22:35:50	1.281506	3.503246E-44	0	1	0	0	0	0
2024-06-29 22:36:00	1.281506	3.503246E-44	0	1	0	0	0	0
2024-06-29 22:36:10	1.281506	3.503246E-44	0	1	0	0	0	0
2024-06-29 22:36:20	1.281506	3.503246E-44	0	1	0	0	0	0
2024-06-29 22:36:30	1.281506	3.503246E-44	0	1	0	0	0	0
2024-06-29 22:36:40	1.281506	3.503246E-44	0	1	0	0	0	0
2024-06-29 22:36:50	1.281506	3.503246E-44	0	1	0	0	0	0
2024-06-29 22:37:00	1.281506	3.503246E-44	0	1	0	0	0	0
2024-06-29 22:37:10	1.281506	3.503246E-44	0	1	0	0	0	0
