PROCESSDATA	2#CDU.7040-311_FIC31102 Data	yyyy-MM-dd HH:mm:ss
8	10	2024-06-27 21:55:00	751
tagname	LYCDU.CDU.7040-311_FIC31102.MV	LYCDU.CDU.7040-311_FIC31102.PV	LYCDU.CDU.7040-311_FIC31102.SV	LYCDU.CDU.7040-311_FIC31102.MODE	bOpOFL	bPvOFL	bSpOFL	bAutOFL
desc	过热蒸汽入C_301线_OP	过热蒸汽入C_301线_PV	过热蒸汽入C_301线_SP	Aut	bOpOFL	bPvOFL	bSpOFL	bAutOFL
fsMax=1.340597	fsMin=0	fsGridNum=10	fdMax=1.340597tfdMin=0	fdGridNum=10	v0GridNum=10	L=24
2024-06-27 22:09:50	5.212718	0.303875	0.3038403	1	0	0	0	0
2024-06-27 22:10:00	5.212718	0.303875	0.3038403	1	0	0	0	0
2024-06-27 22:10:10	5.212718	0.3037861	0.3038403	1	0	0	0	0
2024-06-27 22:10:20	5.212718	0.3036083	0.3038403	1	0	0	0	0
2024-06-27 22:10:30	5.212718	0.3036083	0.3038403	1	0	0	0	0
2024-06-27 22:10:40	5.212718	0.3036083	0.3038403	1	0	0	0	0
2024-06-27 22:10:50	5.212718	0.3036083	0.3038403	1	0	0	0	0
2024-06-27 22:11:00	5.212718	0.3036083	0.3038403	1	0	0	0	0
2024-06-27 22:11:10	5.212718	0.3036083	0.3038403	1	0	0	0	0
2024-06-27 22:11:20	5.212718	0.3036083	0.3038403	1	0	0	0	0
2024-06-27 22:11:30	5.212718	0.3034303	0.3038403	1	0	0	0	0
2024-06-27 22:11:40	5.212718	0.3030742	0.3038403	1	0	0	0	0
2024-06-27 22:11:50	5.212718	0.3034303	0.3038403	1	0	0	0	0
2024-06-27 22:12:00	5.212718	0.3036083	0.3038403	1	0	0	0	0
2024-06-27 22:12:10	5.212718	0.3036083	0.3038403	1	0	0	0	0
2024-06-27 22:12:20	5.212718	0.3036083	0.3038403	1	0	0	0	0
2024-06-27 22:12:30	5.212718	0.303074	0.3038403	1	0	0	0	0
2024-06-27 22:12:40	5.212718	0.3030742	0.3038403	1	0	0	0	0
2024-06-27 22:12:50	5.212718	0.302896	0.3038403	1	0	0	0	0
2024-06-27 22:13:00	5.212718	0.3028069	0.3038403	1	0	0	0	0
2024-06-27 22:13:10	5.212718	0.3028069	0.3038403	1	0	0	0	0
2024-06-27 22:13:20	5.212718	0.3029851	0.3038403	1	0	0	0	0
2024-06-27 22:13:30	5.212718	0.3030742	0.3038403	1	0	0	0	0
2024-06-27 22:13:40	5.212718	0.3030742	0.3038403	1	0	0	0	0
2024-06-27 22:13:50	5.212718	0.3030742	0.3038403	1	0	0	0	0
2024-06-27 22:14:00	5.212718	0.302896	0.3038403	1	0	0	0	0
2024-06-27 22:14:10	5.212718	0.3028069	0.3038403	1	0	0	0	0
2024-06-27 22:14:20	5.212718	0.3028069	0.3038403	1	0	0	0	0
2024-06-27 22:14:30	5.212718	0.3028069	0.3038403	1	0	0	0	0
2024-06-27 22:14:40	5.212718	0.3028069	0.3038403	1	0	0	0	0
2024-06-27 22:14:50	5.212718	0.3028069	0.3038403	1	0	0	0	0
2024-06-27 22:15:00	5.212718	0.3028069	0.3038403	1	0	0	0	0
2024-06-27 22:15:10	5.212718	0.3028069	0.3038403	1	0	0	0	0
2024-06-27 22:15:20	5.246986	0.3028069	0.3038403	1	0	0	0	0
2024-06-27 22:15:30	5.264121	0.3028069	0.3038403	1	0	0	0	0
2024-06-27 22:15:40	5.264121	0.3028069	0.3038403	1	0	0	0	0
2024-06-27 22:15:50	5.264121	0.3028069	0.3038403	1	0	0	0	0
2024-06-27 22:16:00	5.264121	0.3028069	0.3038403	1	0	0	0	0
2024-06-27 22:16:10	5.264121	0.3028069	0.3038403	1	0	0	0	0
2024-06-27 22:16:20	5.264121	0.3028069	0.3038403	1	0	0	0	0
2024-06-27 22:16:30	5.264121	0.3028069	0.3038403	1	0	0	0	0
2024-06-27 22:16:40	5.264121	0.3028069	0.3038403	1	0	0	0	0
2024-06-27 22:16:50	5.264121	0.3028069	0.3038403	1	0	0	0	0
2024-06-27 22:17:00	5.264121	0.3028069	0.3038403	1	0	0	0	0
2024-06-27 22:17:10	5.264121	0.3028069	0.3038403	1	0	0	0	0
2024-06-27 22:17:20	5.264121	0.3028069	0.3038403	1	0	0	0	0
2024-06-27 22:17:30	5.264121	0.3028069	0.3038403	1	0	0	0	0
2024-06-27 22:17:40	5.264121	0.3028069	0.3038403	1	0	0	0	0
2024-06-27 22:17:50	5.264121	0.3028069	0.3038403	1	0	0	0	0
2024-06-27 22:18:00	5.264121	0.3028069	0.3038403	1	0	0	0	0
2024-06-27 22:18:10	5.264121	0.3028069	0.3038403	1	0	0	0	0
2024-06-27 22:18:20	5.264121	0.3028069	0.3038403	1	0	0	0	0
2024-06-27 22:18:30	5.264121	0.3026284	0.3038403	1	0	0	0	0
2024-06-27 22:18:40	5.264121	0.3022714	0.3038403	1	0	0	0	0
2024-06-27 22:18:50	5.264121	0.3020927	0.3038403	1	0	0	0	0
2024-06-27 22:19:00	5.264121	0.3020927	0.3038403	1	0	0	0	0
2024-06-27 22:19:10	5.282083	0.3020033	0.3038403	1	0	0	0	0
2024-06-27 22:19:20	5.318007	0.3023606	0.3038403	1	0	0	0	0
2024-06-27 22:19:30	5.318007	0.30245	0.3038403	1	0	0	0	0
2024-06-27 22:19:40	5.318007	0.3022714	0.3038403	1	0	0	0	0
2024-06-27 22:19:50	5.318007	0.30245	0.3038403	1	0	0	0	0
2024-06-27 22:20:00	5.318007	0.3026285	0.3038403	1	0	0	0	0
2024-06-27 22:20:10	5.318007	0.3028069	0.3038403	1	0	0	0	0
2024-06-27 22:20:20	5.318007	0.3024499	0.3038403	1	0	0	0	0
2024-06-27 22:20:30	5.318007	0.3024499	0.3038403	1	0	0	0	0
2024-06-27 22:20:40	5.318007	0.3023607	0.3038403	1	0	0	0	0
2024-06-27 22:20:50	5.318007	0.3027177	0.3038403	1	0	0	0	0
2024-06-27 22:21:00	5.318007	0.3027177	0.3038403	1	0	0	0	0
2024-06-27 22:21:10	5.318007	0.3025393	0.3038403	1	0	0	0	0
2024-06-27 22:21:20	5.318007	0.3027177	0.3038403	1	0	0	0	0
2024-06-27 22:21:30	5.318007	0.3028069	0.3038403	1	0	0	0	0
2024-06-27 22:21:40	5.318007	0.3028069	0.3038403	1	0	0	0	0
2024-06-27 22:21:50	5.318007	0.3028069	0.3038403	1	0	0	0	0
2024-06-27 22:22:00	5.318007	0.3028069	0.3038403	1	0	0	0	0
2024-06-27 22:22:10	5.318007	0.3028069	0.3038403	1	0	0	0	0
2024-06-27 22:22:20	5.351654	0.3028069	0.3038403	1	0	0	0	0
2024-06-27 22:22:30	5.368477	0.3028069	0.3038403	1	0	0	0	0
2024-06-27 22:22:40	5.368477	0.3028069	0.3038403	1	0	0	0	0
2024-06-27 22:22:50	5.368477	0.3028069	0.3038403	1	0	0	0	0
2024-06-27 22:23:00	5.368477	0.3028069	0.3038403	1	0	0	0	0
2024-06-27 22:23:10	5.368477	0.3028069	0.3038403	1	0	0	0	0
2024-06-27 22:23:20	5.368477	0.3028069	0.3038403	1	0	0	0	0
2024-06-27 22:23:30	5.368477	0.3028069	0.3038403	1	0	0	0	0
2024-06-27 22:23:40	5.368477	0.3028069	0.3038403	1	0	0	0	0
2024-06-27 22:23:50	5.368477	0.3028069	0.3038403	1	0	0	0	0
2024-06-27 22:24:00	5.368477	0.3028069	0.3038403	1	0	0	0	0
2024-06-27 22:24:10	5.368477	0.3028069	0.3038403	1	0	0	0	0
2024-06-27 22:24:20	5.368477	0.3028069	0.3038403	1	0	0	0	0
2024-06-27 22:24:30	5.368477	0.3028069	0.3038403	1	0	0	0	0
2024-06-27 22:24:40	5.368477	0.3028069	0.3038403	1	0	0	0	0
2024-06-27 22:24:50	5.368477	0.3028069	0.3038403	1	0	0	0	0
2024-06-27 22:25:00	5.368477	0.3028069	0.3038403	1	0	0	0	0
2024-06-27 22:25:10	5.368477	0.3028069	0.3038403	1	0	0	0	0
2024-06-27 22:25:20	5.368477	0.3028069	0.3038403	1	0	0	0	0
2024-06-27 22:25:30	5.368477	0.3028069	0.3038403	1	0	0	0	0
2024-06-27 22:25:40	5.368477	0.3028069	0.3038403	1	0	0	0	0
2024-06-27 22:25:50	5.368477	0.3028069	0.3038403	1	0	0	0	0
2024-06-27 22:26:00	5.368477	0.3028069	0.3038403	1	0	0	0	0
2024-06-27 22:26:10	5.421329	0.3028069	0.3038403	1	0	0	0	0
2024-06-27 22:26:20	5.421329	0.3028069	0.3038403	1	0	0	0	0
2024-06-27 22:26:30	5.421329	0.3028069	0.3038403	1	0	0	0	0
2024-06-27 22:26:40	5.421329	0.3028069	0.3038403	1	0	0	0	0
2024-06-27 22:26:50	5.421329	0.3028069	0.3038403	1	0	0	0	0
2024-06-27 22:27:00	5.421329	0.3028069	0.3038403	1	0	0	0	0
2024-06-27 22:27:10	5.421329	0.3028069	0.3038403	1	0	0	0	0
2024-06-27 22:27:20	5.421329	0.3028069	0.3038403	1	0	0	0	0
2024-06-27 22:27:30	5.421329	0.3028069	0.3038403	1	0	0	0	0
2024-06-27 22:27:40	5.421329	0.3028069	0.3038403	1	0	0	0	0
2024-06-27 22:27:50	5.421329	0.3028069	0.3038403	1	0	0	0	0
2024-06-27 22:28:00	5.421329	0.3026284	0.3038403	1	0	0	0	0
2024-06-27 22:28:10	5.421329	0.3022714	0.3038403	1	0	0	0	0
2024-06-27 22:28:20	5.421329	0.30245	0.3038403	1	0	0	0	0
2024-06-27 22:28:30	5.421329	0.3026285	0.3038403	1	0	0	0	0
2024-06-27 22:28:40	5.421329	0.3026285	0.3038403	1	0	0	0	0
2024-06-27 22:28:50	5.421329	0.3028069	0.3038403	1	0	0	0	0
2024-06-27 22:29:00	5.421329	0.3027177	0.3038403	1	0	0	0	0
2024-06-27 22:29:10	5.421329	0.3025393	0.3038403	1	0	0	0	0
2024-06-27 22:29:20	5.455112	0.3025393	0.3038403	1	0	0	0	0
2024-06-27 22:29:30	5.472004	0.3026285	0.3038403	1	0	0	0	0
2024-06-27 22:29:40	5.472004	0.3028069	0.3038403	1	0	0	0	0
2024-06-27 22:29:50	5.472004	0.3028069	0.3038403	1	0	0	0	0
2024-06-27 22:30:00	5.472004	0.3026285	0.3038403	1	0	0	0	0
2024-06-27 22:30:10	5.472004	0.3028069	0.3038403	1	0	0	0	0
2024-06-27 22:30:20	5.472004	0.3024499	0.3038403	1	0	0	0	0
2024-06-27 22:30:30	5.472004	0.3024499	0.3038403	1	0	0	0	0
2024-06-27 22:30:40	5.472004	0.3028069	0.3038403	1	0	0	0	0
2024-06-27 22:30:50	5.472004	0.3028069	0.3038403	1	0	0	0	0
2024-06-27 22:31:00	5.472004	0.3028069	0.3038403	1	0	0	0	0
2024-06-27 22:31:10	5.472004	0.3026284	0.3038403	1	0	0	0	0
2024-06-27 22:31:20	5.472004	0.3026284	0.3038403	1	0	0	0	0
2024-06-27 22:31:30	5.472004	0.3027177	0.3038403	1	0	0	0	0
2024-06-27 22:31:40	5.472004	0.3025393	0.3038403	1	0	0	0	0
2024-06-27 22:31:50	5.472004	0.3027177	0.3038403	1	0	0	0	0
2024-06-27 22:32:00	5.472004	0.3028069	0.3038403	1	0	0	0	0
2024-06-27 22:32:10	5.472004	0.3028069	0.3038403	1	0	0	0	0
2024-06-27 22:32:20	5.472004	0.3028069	0.3038403	1	0	0	0	0
2024-06-27 22:32:30	5.472004	0.3028069	0.3038403	1	0	0	0	0
2024-06-27 22:32:40	5.488919	0.3028069	0.3038403	1	0	0	0	0
2024-06-27 22:32:50	5.522748	0.3028069	0.3038403	1	0	0	0	0
2024-06-27 22:33:00	5.522748	0.3028069	0.3038403	1	0	0	0	0
2024-06-27 22:33:10	5.522748	0.3028069	0.3038403	1	0	0	0	0
2024-06-27 22:33:20	5.522748	0.3028069	0.3038403	1	0	0	0	0
2024-06-27 22:33:30	5.522748	0.3028069	0.3038403	1	0	0	0	0
2024-06-27 22:33:40	5.522748	0.3028069	0.3038403	1	0	0	0	0
2024-06-27 22:33:50	5.522748	0.3028069	0.3038403	1	0	0	0	0
2024-06-27 22:34:00	5.522748	0.3028069	0.3038403	1	0	0	0	0
2024-06-27 22:34:10	5.522748	0.3028069	0.3038403	1	0	0	0	0
2024-06-27 22:34:20	5.522748	0.3028069	0.3038403	1	0	0	0	0
2024-06-27 22:34:30	5.522748	0.3028069	0.3038403	1	0	0	0	0
2024-06-27 22:34:40	5.522748	0.3028069	0.3038403	1	0	0	0	0
2024-06-27 22:34:50	5.522748	0.3028069	0.3038403	1	0	0	0	0
2024-06-27 22:35:00	5.522748	0.3028069	0.3038403	1	0	0	0	0
2024-06-27 22:35:10	5.522748	0.3028069	0.3038403	1	0	0	0	0
2024-06-27 22:35:20	5.522748	0.3028069	0.3038403	1	0	0	0	0
2024-06-27 22:35:30	5.522748	0.3027177	0.3038403	1	0	0	0	0
2024-06-27 22:35:40	5.522748	0.3025393	0.3038403	1	0	0	0	0
2024-06-27 22:35:50	5.522748	0.3027177	0.3038403	1	0	0	0	0
2024-06-27 22:36:00	5.522748	0.3028069	0.3038403	1	0	0	0	0
2024-06-27 22:36:10	5.522748	0.3028069	0.3038403	1	0	0	0	0
2024-06-27 22:36:20	5.522748	0.3028069	0.3038403	1	0	0	0	0
2024-06-27 22:36:30	5.522748	0.3028069	0.3038403	1	0	0	0	0
2024-06-27 22:36:40	5.539591	0.3028069	0.3038403	1	0	0	0	0
2024-06-27 22:36:50	5.573277	0.3028069	0.3038403	1	0	0	0	0
2024-06-27 22:37:00	5.573277	0.3028069	0.3038403	1	0	0	0	0
2024-06-27 22:37:10	5.573277	0.3028069	0.3038403	1	0	0	0	0
2024-06-27 22:37:20	5.573277	0.3028069	0.3038403	1	0	0	0	0
2024-06-27 22:37:30	5.573277	0.3028069	0.3038403	1	0	0	0	0
2024-06-27 22:37:40	5.573277	0.3028069	0.3038403	1	0	0	0	0
2024-06-27 22:37:50	5.573277	0.3028069	0.3038403	1	0	0	0	0
2024-06-27 22:38:00	5.573277	0.3028069	0.3038403	1	0	0	0	0
2024-06-27 22:38:10	5.573277	0.3028069	0.3038403	1	0	0	0	0
2024-06-27 22:38:20	5.573277	0.3028069	0.3038403	1	0	0	0	0
2024-06-27 22:38:30	5.573277	0.3028069	0.3038403	1	0	0	0	0
2024-06-27 22:38:40	5.573277	0.3028069	0.3038403	1	0	0	0	0
2024-06-27 22:38:50	5.573277	0.3028069	0.3038403	1	0	0	0	0
2024-06-27 22:39:00	5.573277	0.3028069	0.3038403	1	0	0	0	0
2024-06-27 22:39:10	5.573277	0.3028069	0.3038403	1	0	0	0	0
2024-06-27 22:39:20	5.573277	0.3028069	0.3038403	1	0	0	0	0
2024-06-27 22:39:30	5.573277	0.3025393	0.3038403	1	0	0	0	0
2024-06-27 22:39:40	5.573277	0.3025393	0.3038403	1	0	0	0	0
2024-06-27 22:39:50	5.573277	0.3027177	0.3038403	1	0	0	0	0
2024-06-27 22:40:00	5.590331	0.3028069	0.3038403	1	0	0	0	0
2024-06-27 22:40:10	5.624438	0.3028069	0.3038403	1	0	0	0	0
2024-06-27 22:40:20	5.624438	0.3028069	0.3038403	1	0	0	0	0
2024-06-27 22:40:30	5.624438	0.3028069	0.3038403	1	0	0	0	0
2024-06-27 22:40:40	5.624438	0.3028069	0.3038403	1	0	0	0	0
2024-06-27 22:40:50	5.624438	0.3024499	0.3038403	1	0	0	0	0
2024-06-27 22:41:00	5.624438	0.3023607	0.3038403	1	0	0	0	0
2024-06-27 22:41:10	5.624438	0.3025393	0.3038403	1	0	0	0	0
2024-06-27 22:41:20	5.624438	0.3027177	0.3038403	1	0	0	0	0
2024-06-27 22:41:30	5.624438	0.3027177	0.3038403	1	0	0	0	0
2024-06-27 22:41:40	5.624438	0.3028069	0.3038403	1	0	0	0	0
2024-06-27 22:41:50	5.624438	0.3026285	0.3038403	1	0	0	0	0
2024-06-27 22:42:00	5.624438	0.3025393	0.3038403	1	0	0	0	0
2024-06-27 22:42:10	5.624438	0.3025393	0.3038403	1	0	0	0	0
2024-06-27 22:42:20	5.624438	0.3025393	0.3038403	1	0	0	0	0
2024-06-27 22:42:30	5.624438	0.30245	0.3038403	1	0	0	0	0
2024-06-27 22:42:40	5.624438	0.3022714	0.3038403	1	0	0	0	0
2024-06-27 22:42:50	5.624438	0.3022714	0.3038403	1	0	0	0	0
2024-06-27 22:43:00	5.624438	0.30245	0.3038403	1	0	0	0	0
2024-06-27 22:43:10	5.624438	0.3025393	0.3038403	1	0	0	0	0
2024-06-27 22:43:20	5.659293	0.3023607	0.3038403	1	0	0	0	0
2024-06-27 22:43:30	5.67672	0.3022714	0.3038403	1	0	0	0	0
2024-06-27 22:43:40	5.67672	0.3022714	0.3038403	1	0	0	0	0
2024-06-27 22:43:50	5.67672	0.3022714	0.3038403	1	0	0	0	0
2024-06-27 22:44:00	5.67672	0.30245	0.3038403	1	0	0	0	0
2024-06-27 22:44:10	5.67672	0.3022714	0.3038403	1	0	0	0	0
2024-06-27 22:44:20	5.67672	0.30245	0.3038403	1	0	0	0	0
2024-06-27 22:44:30	5.67672	0.3025393	0.3038403	1	0	0	0	0
2024-06-27 22:44:40	5.67672	0.3025393	0.3038403	1	0	0	0	0
2024-06-27 22:44:50	5.67672	0.3025393	0.3038403	1	0	0	0	0
2024-06-27 22:45:00	5.67672	0.3025393	0.3038403	1	0	0	0	0
